"","Date","block","LeakVolume"
"147",2017-12-03,"PG_B2",192
"148",2017-12-03,"PG_B3",0
"149",2017-12-03,"PG_B4",0
"150",2017-12-03,"PG_B5",120
"151",2017-12-04,"PG_B1",240
"152",2017-12-04,"PG_B2",4128
"153",2017-12-04,"PG_B3",0
"154",2017-12-04,"PG_B4",0
"155",2017-12-04,"PG_B5",240
"156",2017-12-05,"PG_B1",168
"157",2017-12-05,"PG_B2",48
"158",2017-12-05,"PG_B3",0
"159",2017-12-05,"PG_B4",0
"160",2017-12-05,"PG_B5",120
"161",2017-12-06,"PG_B1",168
"162",2017-12-06,"PG_B2",72
"163",2017-12-06,"PG_B3",0
"164",2017-12-06,"PG_B4",0
"165",2017-12-06,"PG_B5",120
"166",2017-12-07,"PG_B1",120
"167",2017-12-07,"PG_B2",72
"168",2017-12-07,"PG_B3",0
"169",2017-12-07,"PG_B4",0
"170",2017-12-07,"PG_B5",24
"171",2017-12-08,"PG_B1",120
"172",2017-12-08,"PG_B2",48
"173",2017-12-08,"PG_B3",0
"174",2017-12-08,"PG_B4",0
"175",2017-12-08,"PG_B5",0
"176",2017-12-09,"PG_B1",120
"177",2017-12-09,"PG_B2",48
"178",2017-12-09,"PG_B3",0
"179",2017-12-09,"PG_B4",0
"180",2017-12-09,"PG_B5",0
"181",2017-12-10,"PG_B1",120
"182",2017-12-10,"PG_B2",96
"183",2017-12-10,"PG_B3",0
"184",2017-12-10,"PG_B4",0
"185",2017-12-10,"PG_B5",24
"186",2017-12-11,"PG_B1",120
"187",2017-12-11,"PG_B2",120
"188",2017-12-11,"PG_B3",0
"189",2017-12-11,"PG_B4",0
"190",2017-12-11,"PG_B5",24
"191",2017-12-12,"PG_B1",96
"192",2017-12-12,"PG_B2",120
"193",2017-12-12,"PG_B3",168
"194",2017-12-12,"PG_B4",0
"195",2017-12-12,"PG_B5",0
"196",2017-12-13,"PG_B1",120
"197",2017-12-13,"PG_B2",96
"198",2017-12-13,"PG_B3",168
"199",2017-12-13,"PG_B4",0
"200",2017-12-13,"PG_B5",0
"201",2017-12-14,"PG_B1",96
"202",2017-12-14,"PG_B2",96
"203",2017-12-14,"PG_B3",0
"204",2017-12-14,"PG_B4",0
"205",2017-12-14,"PG_B5",48
"206",2017-12-15,"PG_B1",48
"207",2017-12-15,"PG_B2",96
"208",2017-12-15,"PG_B3",24
"209",2017-12-15,"PG_B4",0
"210",2017-12-15,"PG_B5",0
"211",2017-12-16,"PG_B1",24
"212",2017-12-16,"PG_B2",96
"213",2017-12-16,"PG_B3",0
"214",2017-12-16,"PG_B4",0
"215",2017-12-16,"PG_B5",120
"216",2017-12-17,"PG_B1",24
"217",2017-12-17,"PG_B2",0
"218",2017-12-17,"PG_B3",0
"219",2017-12-17,"PG_B4",0
"220",2017-12-17,"PG_B5",120
"221",2017-12-18,"PG_B1",120
"222",2017-12-18,"PG_B2",96
"223",2017-12-18,"PG_B3",0
"224",2017-12-18,"PG_B4",0
"225",2017-12-18,"PG_B5",24
"226",2017-12-19,"PG_B1",48
"227",2017-12-19,"PG_B2",480
"228",2017-12-19,"PG_B3",0
"229",2017-12-19,"PG_B4",0
"230",2017-12-19,"PG_B5",0
"231",2017-12-20,"PG_B1",0
"232",2017-12-20,"PG_B2",336
"233",2017-12-20,"PG_B3",0
"234",2017-12-20,"PG_B4",0
"235",2017-12-20,"PG_B5",0
"236",2017-12-21,"PG_B1",24
"237",2017-12-21,"PG_B2",312
"238",2017-12-21,"PG_B3",24
"239",2017-12-21,"PG_B4",0
"240",2017-12-21,"PG_B5",120
"241",2017-12-22,"PG_B1",48
"242",2017-12-22,"PG_B2",432
"243",2017-12-22,"PG_B3",0
"244",2017-12-22,"PG_B4",0
"245",2017-12-22,"PG_B5",96
"246",2017-12-23,"PG_B1",0
"247",2017-12-23,"PG_B2",432
"248",2017-12-23,"PG_B3",0
"249",2017-12-23,"PG_B4",0
"250",2017-12-23,"PG_B5",72
"251",2017-12-24,"PG_B1",0
"252",2017-12-24,"PG_B2",600
"253",2017-12-24,"PG_B3",0
"254",2017-12-24,"PG_B4",0
"255",2017-12-24,"PG_B5",24
"256",2017-12-25,"PG_B1",0
"257",2017-12-25,"PG_B2",408
"258",2017-12-25,"PG_B3",0
"259",2017-12-25,"PG_B4",0
"260",2017-12-25,"PG_B5",48
"261",2017-12-26,"PG_B1",144
"262",2017-12-26,"PG_B2",312
"263",2017-12-26,"PG_B3",24
"264",2017-12-26,"PG_B4",0
"265",2017-12-26,"PG_B5",0
"266",2017-12-27,"PG_B1",0
"267",2017-12-27,"PG_B2",144
"268",2017-12-27,"PG_B3",0
"269",2017-12-27,"PG_B4",0
"270",2017-12-27,"PG_B5",0
"271",2017-12-28,"PG_B1",0
"272",2017-12-28,"PG_B2",528
"273",2017-12-28,"PG_B3",0
"274",2017-12-28,"PG_B4",0
"275",2017-12-28,"PG_B5",0
"276",2017-12-29,"PG_B1",96
"277",2017-12-29,"PG_B2",408
"278",2017-12-29,"PG_B3",0
"279",2017-12-29,"PG_B4",0
"280",2017-12-29,"PG_B5",120
"281",2017-12-30,"PG_B1",96
"282",2017-12-30,"PG_B2",336
"283",2017-12-30,"PG_B3",0
"284",2017-12-30,"PG_B4",24
"285",2017-12-30,"PG_B5",144
"286",2017-12-31,"PG_B1",48
"287",2017-12-31,"PG_B2",144
"288",2017-12-31,"PG_B3",24
"289",2017-12-31,"PG_B4",120
"290",2017-12-31,"PG_B5",48
"291",2018-01-01,"PG_B1",48
"292",2018-01-01,"PG_B2",144
"293",2018-01-01,"PG_B3",0
"294",2018-01-01,"PG_B4",0
"295",2018-01-01,"PG_B5",0
"296",2018-01-02,"PG_B1",48
"297",2018-01-02,"PG_B2",144
"298",2018-01-02,"PG_B3",24
"299",2018-01-02,"PG_B4",168
"300",2018-01-02,"PG_B5",0
"301",2018-01-03,"PG_B1",48
"302",2018-01-03,"PG_B2",264
"303",2018-01-03,"PG_B3",0
"304",2018-01-03,"PG_B4",0
"305",2018-01-03,"PG_B5",96
"306",2018-01-04,"PG_B1",0
"307",2018-01-04,"PG_B2",216
"308",2018-01-04,"PG_B3",0
"309",2018-01-04,"PG_B4",264
"310",2018-01-04,"PG_B5",0
"311",2018-01-05,"PG_B1",24
"312",2018-01-05,"PG_B2",144
"313",2018-01-05,"PG_B3",0
"314",2018-01-05,"PG_B4",288
"315",2018-01-05,"PG_B5",0
"316",2018-01-06,"PG_B1",0
"317",2018-01-06,"PG_B2",240
"318",2018-01-06,"PG_B3",24
"319",2018-01-06,"PG_B4",312
"320",2018-01-06,"PG_B5",0
"321",2018-01-07,"PG_B1",0
"322",2018-01-07,"PG_B2",264
"323",2018-01-07,"PG_B3",48
"324",2018-01-07,"PG_B4",0
"325",2018-01-07,"PG_B5",0
"326",2018-01-08,"PG_B1",288
"327",2018-01-08,"PG_B2",432
"328",2018-01-08,"PG_B3",24
"329",2018-01-08,"PG_B4",0
"330",2018-01-08,"PG_B5",0
"331",2018-01-09,"PG_B1",168
"332",2018-01-09,"PG_B2",360
"333",2018-01-09,"PG_B3",24
"334",2018-01-09,"PG_B4",0
"335",2018-01-09,"PG_B5",0
"336",2018-01-10,"PG_B1",336
"337",2018-01-10,"PG_B2",336
"338",2018-01-10,"PG_B3",24
"339",2018-01-10,"PG_B4",0
"340",2018-01-10,"PG_B5",0
"341",2018-01-11,"PG_B1",120
"342",2018-01-11,"PG_B2",360
"343",2018-01-11,"PG_B3",0
"344",2018-01-11,"PG_B4",0
"345",2018-01-11,"PG_B5",0
"346",2018-01-12,"PG_B1",120
"347",2018-01-12,"PG_B2",240
"348",2018-01-12,"PG_B3",24
"349",2018-01-12,"PG_B4",0
"350",2018-01-12,"PG_B5",24
"351",2018-01-13,"PG_B1",24
"352",2018-01-13,"PG_B2",312
"353",2018-01-13,"PG_B3",72
"354",2018-01-13,"PG_B4",0
"355",2018-01-13,"PG_B5",0
"356",2018-01-14,"PG_B1",72
"357",2018-01-14,"PG_B2",144
"358",2018-01-14,"PG_B3",24
"359",2018-01-14,"PG_B4",0
"360",2018-01-14,"PG_B5",0
"361",2018-01-15,"PG_B1",24
"362",2018-01-15,"PG_B2",264
"363",2018-01-15,"PG_B3",24
"364",2018-01-15,"PG_B4",0
"365",2018-01-15,"PG_B5",24
"366",2018-01-16,"PG_B1",0
"367",2018-01-16,"PG_B2",624
"368",2018-01-16,"PG_B3",24
"369",2018-01-16,"PG_B4",0
"370",2018-01-16,"PG_B5",0
"371",2018-01-17,"PG_B1",24
"372",2018-01-17,"PG_B2",552
"373",2018-01-17,"PG_B3",24
"374",2018-01-17,"PG_B4",0
"375",2018-01-17,"PG_B5",0
"376",2018-01-18,"PG_B1",72
"377",2018-01-18,"PG_B2",384
"378",2018-01-18,"PG_B3",0
"379",2018-01-18,"PG_B4",24
"380",2018-01-18,"PG_B5",48
"381",2018-01-19,"PG_B1",48
"382",2018-01-19,"PG_B2",528
"383",2018-01-19,"PG_B3",24
"384",2018-01-19,"PG_B4",0
"385",2018-01-19,"PG_B5",24
"386",2018-01-20,"PG_B1",48
"387",2018-01-20,"PG_B2",192
"388",2018-01-20,"PG_B3",24
"389",2018-01-20,"PG_B4",0
"390",2018-01-20,"PG_B5",24
"391",2018-01-21,"PG_B1",0
"392",2018-01-21,"PG_B2",600
"393",2018-01-21,"PG_B3",0
"394",2018-01-21,"PG_B4",0
"395",2018-01-21,"PG_B5",120
"396",2018-01-22,"PG_B1",0
"397",2018-01-22,"PG_B2",216
"398",2018-01-22,"PG_B3",0
"399",2018-01-22,"PG_B4",0
"400",2018-01-22,"PG_B5",0
"401",2018-01-23,"PG_B1",192
"402",2018-01-23,"PG_B2",672
"403",2018-01-23,"PG_B3",0
