"","service_point_sn","id.x","min_5_flow","date","MinCons_60"
"132","3004478755",40,5,2016-09-02,5
"133","3004478755",40,5,2016-09-03,5
"134","3004478755",40,5,2016-09-04,5
"135","3004478755",40,5,2016-09-05,5
"136","3004478755",40,5,2016-09-06,5
"137","3004478755",40,5,2016-09-09,5
"138","3004478755",40,5,2016-09-08,5
"139","3004478755",40,2,2016-09-13,3
"140","3004478755",40,2,2016-09-14,3
"141","3004478755",40,2,2016-09-15,3
"142","3004478755",40,2,2016-09-16,3
"143","3004478755",40,2,2016-09-17,3
"144","3004478755",40,2,2016-09-18,3
"145","3004478755",40,0,2016-09-28,2
"146","3004478755",40,1,2016-09-27,2
"147","3004478755",40,2,2016-09-21,2
"148","3004478755",40,0,2016-10-01,1
"149","3004478755",40,0,2016-10-02,1
"150","3004478755",40,5,2016-10-17,7
"151","3004478755",40,5,2016-10-21,4
"152","3004478755",40,5,2016-10-22,4
"153","3004478755",40,5,2016-10-23,5
"154","3004478755",40,5,2016-10-24,5
"155","3004478755",40,5,2016-10-26,3
"156","3004478755",40,1,2016-10-30,2
"157","3004478755",40,0,2016-10-31,1
"158","3004478755",40,0,2016-11-03,1
"159","3004478755",40,1,2016-11-04,2
"160","3004478755",40,0,2016-11-22,3
"161","3004478755",40,2,2016-11-23,3
"162","3004478755",40,2,2016-11-24,3
"163","3004478755",40,2,2016-11-25,3
"164","3004478755",40,0,2016-12-02,1
"165","3004478755",40,0,2016-12-05,1
"166","3004478755",40,0,2016-12-12,1
"167","3004478755",40,0,2016-12-29,2
"168","3004478755",40,0,2017-01-28,2
"169","3004478755",40,2,2017-01-29,2
"170","3004478755",40,2,2017-01-30,3
"171","3004478755",40,0,2017-01-31,1
"172","3004478755",40,0,2017-03-22,6
"173","3004478755",40,6,2017-04-11,6
"174","3004478755",40,6,2017-04-12,6
"175","3004478755",40,5,2017-04-13,6
"176","3004478755",40,5,2017-04-14,6
"177","3004478755",40,5,2017-04-16,6
"178","3004478755",40,5,2017-04-17,6
"179","3004478755",40,0,2017-04-18,2
"180","3004478755",40,0,2017-05-03,2
"181","3004478755",40,1,2017-05-04,1
"182","3004478755",40,1,2017-05-05,1
"183","3004478755",40,0,2017-05-06,2
"184","3004478755",40,1,2017-05-07,1
"185","3004478755",40,0,2017-05-10,1
"186","3004478755",40,0,2017-05-15,3
"187","3004478755",40,0,2017-05-16,1
"188","3004478755",40,1,2017-05-17,1
"189","3004478755",40,1,2017-05-18,1
"190","3004478755",40,0,2017-06-06,2
"191","3004478755",40,4,2017-07-25,3
"192","3004478755",40,0,2017-08-05,1
"193","3004478755",40,0,2017-08-26,1
"194","3004478755",40,1,2017-09-02,1
"195","3004478755",40,0,2017-09-06,1
"196","3004478755",40,1,2017-09-25,1
"197","3004478755",40,0,2017-09-29,1
"198","3004478755",40,0,2017-10-04,1
"199","3004478755",40,0,2017-10-05,2
"200","3004479303",42,0,2017-10-21,3
"201","3004479303",42,4,2017-10-22,4
"202","3004479303",42,4,2017-10-23,4
"203","3004479690",43,0,2016-04-17,2
"204","3004479690",43,0,2016-05-04,4
"205","3004479690",43,0,2016-06-15,4
"206","3004479690",43,0,2016-06-27,1
"207","3004479690",43,0,2016-06-30,1
"208","3004479690",43,0,2016-08-21,1
"209","3004479690",43,0,2016-10-02,3
"210","3004479690",43,0,2016-12-01,1
"211","3004479690",43,0,2016-12-09,6
"212","3004479690",43,8,2016-12-12,8
"213","3004479690",43,7,2016-12-13,8
"214","3004479690",43,7,2016-12-14,7
"215","3004479690",43,7,2016-12-15,7
"216","3004479690",43,7,2016-12-16,2
"217","3004479690",43,0,2016-12-24,1
"218","3004479690",43,0,2016-12-28,1
"219","3004479690",43,0,2016-12-30,2
"220","3004479690",43,0,2017-01-02,2
"221","3004479690",43,0,2017-01-08,1
"222","3004479690",43,0,2017-02-05,1
"223","3004479690",43,0,2017-02-10,2
"224","3004479690",43,1,2017-02-11,2
"225","3004479690",43,1,2017-02-12,2
"226","3004479690",43,1,2017-02-13,1
"227","3004479690",43,0,2017-02-19,1
"228","3004479690",43,0,2017-02-25,1
"229","3004479690",43,0,2017-03-20,3
"230","3004479690",43,0,2017-04-14,1
"231","3004479948",44,0,2017-10-01,1
"232","3004480243",45,0,2016-12-28,13
"233","3004480243",45,1,2017-02-11,1
"234","3004480243",45,0,2017-02-12,1
"235","3004480243",45,0,2017-02-14,1
"236","3004480243",45,0,2017-02-15,1
"237","3004480243",45,0,2017-02-16,1
"238","3004480243",45,0,2017-02-18,1
"239","3004480243",45,0,2017-02-20,1
"240","3004480243",45,0,2017-02-25,1
"241","3004480243",45,0,2017-02-26,1
"242","3004480243",45,1,2017-02-28,1
"243","3004480243",45,1,2017-03-01,2
"244","3004480243",45,1,2017-03-02,1
"245","3004480243",45,1,2017-03-04,2
"246","3004480243",45,1,2017-03-03,2
"247","3004480243",45,1,2017-03-05,2
"248","3004480243",45,1,2017-03-06,1
"249","3004480243",45,1,2017-03-07,1
"250","3004480243",45,1,2017-03-08,2
"251","3004480243",45,1,2017-03-09,2
"252","3004480243",45,1,2017-03-10,2
"253","3004480243",45,1,2017-03-11,1
"254","3004480243",45,1,2017-03-12,1
"255","3004480243",45,1,2017-03-13,1
"256","3004480243",45,1,2017-03-14,1
"257","3004480243",45,1,2017-03-15,2
"258","3004480243",45,1,2017-03-16,1
"259","3004480243",45,1,2017-03-17,1
"260","3004480243",45,1,2017-03-18,1
"261","3004480243",45,1,2017-03-20,1
"262","3004480243",45,1,2017-03-22,2
"263","3004480243",45,1,2017-03-21,1
"264","3004480243",45,1,2017-03-23,2
"265","3004480243",45,1,2017-03-24,2
"266","3004480243",45,1,2017-03-26,2
"267","3004480243",45,1,2017-03-27,2
"268","3004480243",45,1,2017-03-28,2
"269","3004480243",45,1,2017-03-29,2
"270","3004480243",45,1,2017-03-30,2
"271","3004480243",45,1,2017-03-31,2
"272","3004480243",45,1,2017-04-01,2
"273","3004480243",45,1,2017-04-02,2
"274","3004480243",45,1,2017-04-03,2
"275","3004480243",45,1,2017-04-04,1
"276","3004480243",45,0,2017-04-05,1
"277","3004480243",45,1,2017-04-06,2
"278","3004480243",45,1,2017-04-08,1
"279","3004480243",45,1,2017-04-09,2
"280","3004480243",45,1,2017-04-10,1
"281","3004480243",45,1,2017-04-11,2
"282","3004480243",45,1,2017-04-12,2
"283","3004480243",45,1,2017-04-13,2
"284","3004480243",45,1,2017-04-18,1
"285","3004480243",45,1,2017-04-22,2
"286","3004480243",45,1,2017-04-23,1
"287","3004480243",45,1,2017-04-24,1
"288","3004480243",45,1,2017-04-27,2
"289","3004480243",45,1,2017-04-28,1
"290","3004480243",45,1,2017-05-03,1
"291","3004480243",45,1,2017-05-06,2
"292","3004480243",45,1,2017-05-08,1
"293","3004480243",45,1,2017-05-09,2
"294","3004480243",45,1,2017-05-13,2
"295","3004480243",45,1,2017-05-14,2
"296","3004480243",45,1,2017-05-15,2
"297","3004480243",45,1,2017-05-18,2
"298","3004480243",45,2,2017-05-19,2
"299","3004480243",45,2,2017-05-22,2
"300","3004480243",45,1,2017-05-23,3
"301","3004480243",45,1,2017-05-24,2
"302","3004480243",45,0,2017-05-25,2
"303","3004480243",45,1,2017-05-26,2
"304","3004480243",45,0,2018-03-19,2
"305","3004479020",47,0,2016-06-25,5
"306","3004479020",47,0,2016-11-25,1
"307","3004479020",47,0,2016-12-10,1
"308","3004479020",47,0,2016-12-11,1
"309","3004479020",47,0,2016-12-23,1
"310","3004479020",47,0,2016-12-24,1
"311","3004479020",47,0,2016-12-26,1
"312","3004479020",47,0,2016-12-27,1
"313","3004479020",47,0,2016-12-28,1
"314","3004479020",47,0,2016-12-29,1
"315","3004479020",47,0,2017-01-01,1
"316","3004479020",47,0,2017-01-02,9
"317","3004479020",47,0,2017-01-05,2
"318","3004479020",47,0,2017-01-08,1
"319","3004479020",47,0,2017-01-09,3
"320","3004479020",47,0,2017-01-10,3
"321","3004479020",47,0,2017-01-12,1
"322","3004479020",47,0,2017-01-13,4
"323","3004479020",47,0,2017-01-16,3
"324","3004479020",47,0,2017-01-17,3
"325","3004479020",47,0,2017-01-19,4
"326","3004479020",47,0,2017-01-20,3
"327","3004479020",47,0,2017-01-21,3
"328","3004479020",47,1,2017-01-22,3
"329","3004479020",47,1,2017-01-23,4
"330","3004479020",47,0,2017-01-24,3
"331","3004479020",47,0,2017-01-25,3
"332","3004479020",47,0,2017-01-26,4
"333","3004479020",47,1,2017-01-27,4
"334","3004479020",47,0,2017-01-28,3
"335","3004479020",47,0,2017-01-30,2
"336","3004479020",47,0,2017-01-31,4
"337","3004479020",47,0,2017-02-01,3
"338","3004479020",47,0,2017-02-02,3
"339","3004479020",47,1,2017-02-03,3
"340","3004479020",47,1,2017-02-04,3
"341","3004479020",47,1,2017-02-05,3
"342","3004479020",47,0,2017-02-06,4
"343","3004479020",47,0,2017-02-07,3
"344","3004479020",47,0,2017-02-08,3
"345","3004479020",47,0,2017-02-09,4
"346","3004479020",47,0,2017-02-10,2
"347","3004479020",47,0,2017-02-11,3
"348","3004479020",47,0,2017-02-12,3
"349","3004479020",47,0,2017-02-13,4
"350","3004479020",47,0,2017-02-14,2
"351","3004479020",47,0,2017-02-15,3
"352","3004479020",47,1,2017-02-16,3
"353","3004479020",47,0,2017-02-17,2
"354","3004479020",47,0,2017-02-18,4
"355","3004479020",47,0,2017-02-19,3
"356","3004479020",47,0,2017-02-20,3
"357","3004479020",47,0,2017-02-21,3
"358","3004479020",47,0,2017-02-22,3
"359","3004479020",47,0,2017-02-23,2
"360","3004479020",47,0,2017-02-24,2
"361","3004479020",47,0,2017-02-25,4
"362","3004479020",47,0,2017-02-26,2
"363","3004479020",47,1,2017-02-27,3
"364","3004479020",47,0,2017-02-28,2
"365","3004479020",47,0,2017-03-01,3
"366","3004479020",47,0,2017-03-02,3
"367","3004479020",47,0,2017-03-04,2
"368","3004479020",47,0,2017-03-03,3
"369","3004479020",47,1,2017-03-05,4
"370","3004479020",47,1,2017-03-06,4
"371","3004479020",47,0,2017-03-07,4
"372","3004479020",47,0,2017-03-08,3
"373","3004479020",47,1,2017-03-09,3
"374","3004479020",47,0,2017-03-10,4
"375","3004479020",47,0,2017-03-11,4
"376","3004479020",47,1,2017-03-12,5
"377","3004479020",47,0,2017-03-13,5
"378","3004479020",47,1,2017-03-14,4
"379","3004479020",47,1,2017-03-15,3
"380","3004479020",47,1,2017-03-16,3
"381","3004479020",47,1,2017-03-17,4
"382","3004479020",47,1,2017-03-18,4
"383","3004479020",47,0,2017-03-20,4
"384","3004479020",47,1,2017-03-19,4
"385","3004479020",47,1,2017-03-22,5
"386","3004479020",47,1,2017-03-21,4
"387","3004479020",47,1,2017-03-23,4
"388","3004479020",47,1,2017-03-24,3
"389","3004479020",47,1,2017-03-25,4
"390","3004479020",47,1,2017-03-26,4
"391","3004479020",47,1,2017-03-27,3
"392","3004479020",47,1,2017-03-28,3
"393","3004479020",47,1,2017-03-29,3
"394","3004479020",47,1,2017-03-30,4
"395","3004479020",47,0,2017-03-31,4
"396","3004479020",47,1,2017-04-01,4
"397","3004479020",47,1,2017-04-02,8
"398","3004479020",47,1,2017-04-03,4
"399","3004479020",47,1,2017-04-04,4
"400","3004479020",47,1,2017-04-05,5
"401","3004479020",47,1,2017-04-06,4
"402","3004479020",47,1,2017-04-07,3
"403","3004479020",47,1,2017-04-08,4
"404","3004479020",47,1,2017-04-09,8
"405","3004479020",47,1,2017-04-10,4
"406","3004479020",47,1,2017-04-11,4
"407","3004479020",47,1,2017-04-12,4
"408","3004479020",47,1,2017-04-18,10
"409","3004479020",47,1,2017-04-19,5
"410","3004479020",47,1,2017-04-20,4
"411","3004479020",47,2,2017-04-23,6
"412","3004479020",47,2,2017-04-24,5
"413","3004479020",47,2,2017-04-26,5
"414","3004479020",47,2,2017-04-27,6
"415","3004479020",47,2,2017-04-28,5
"416","3004479020",47,2,2017-04-29,6
"417","3004479020",47,2,2017-04-30,5
"418","3004479020",47,2,2017-05-01,5
"419","3004479020",47,2,2017-05-02,5
"420","3004479020",47,2,2017-05-03,6
"421","3004479020",47,4,2017-05-06,6
"422","3004479020",47,5,2017-05-07,7
"423","3004479020",47,5,2017-05-08,6
"424","3004479020",47,5,2017-05-12,6
"425","3004479020",47,5,2017-05-14,8
"426","3004479020",47,5,2017-05-15,6
"427","3004479020",47,4,2017-05-16,7
"428","3004479020",47,0,2017-05-20,3
"429","3004479020",47,0,2017-05-21,3
"430","3004479020",47,0,2017-05-22,4
"431","3004479020",47,0,2017-05-24,4
"432","3004479020",47,0,2017-05-26,3
"433","3004479020",47,0,2017-05-27,3
"434","3004479020",47,0,2017-05-28,3
"435","3004479020",47,0,2017-05-29,4
"436","3004479020",47,0,2017-05-30,4
"437","3004479020",47,0,2017-05-31,3
"438","3004479020",47,0,2017-06-03,3
