"Premises Type","Jul '17","Jun '17","May '17","Apr '17","Mar '17","Feb '17","Jan '17","Dec '16","Nov '16","Oct '16","Sep '16","Aug '16"
"HDB 1-Room",9,9.5,8.9,9,8.5,9.2,9,9,9.5,9.5,9.6,9.6
"HDB 2-Room",12,12.6,12.1,12,11.4,12.3,12.1,11.9,12.8,12.5,12.8,13
"HDB 3-Room",13,14,13.2,13.3,12.7,13.6,13.3,13.2,14,13.8,14.1,14.3
"HDB 4-Room",16.5,17.9,16.7,16.9,16.3,17.3,16.8,16.7,17.9,17.4,18,18.1
"HDB 5-Room",17.5,18.9,17.5,18,17.5,18.3,17.5,17.7,19,18.5,19.1,19.1
