"","AccumulativePoints","NumberOfUsers"
"1",250,76
"2",750,161
"3",1250,43
"4",1750,22
"5",2250,7
"6",2750,1
"7",3250,2
"8",3750,8
"9",4250,1
"10",4750,6
"11",5250,6
"12",5750,7
"13",6250,3
