"","id_family","pub_cust_id","created_at","is_active"
"94",1982,"008909576731",2018-07-03 23:07:41,TRUE
"95",417,"008923625852",2017-06-17 11:16:04,TRUE
"96",1999,"008919229594",2018-07-04 10:42:41,TRUE
"97",2220,"007015802604",2018-07-04 08:10:11,TRUE
"98",1938,"008934225809",2018-07-02 08:12:27,TRUE
"99",1992,"007013602217",2018-07-04 12:14:02,TRUE
"100",2196,"00-701580240",2018-07-03 11:30:05,TRUE
"101",2247,"007015802906",2018-07-14 11:19:56,TRUE
"102",2427,"008937163759",2018-07-03 23:24:34,TRUE
"103",2021,"008934715494",2018-07-04 11:05:05,TRUE
"104",354,"008921023217",2017-06-09 21:44:57,TRUE
"105",284,"008927363690",2017-07-12 16:57:20,TRUE
"106",2236,"007015800601",2018-07-03 13:53:58,TRUE
"107",2235,"008908568721",2018-07-04 10:39:21,TRUE
"108",2251,"008919497126",2018-07-12 20:36:43,TRUE
"109",2399,"008931916145",2018-07-09 09:48:32,TRUE
"110",462,"008923716057",2018-07-04 11:59:24,TRUE
"111",2045,"007013607103",2018-07-09 21:00:31,TRUE
"112",2238,"008915320108",2018-07-03 10:39:59,TRUE
"113",2200,"007015806804",2018-07-06 01:27:01,TRUE
"114",331,"008920986828",2017-06-17 11:56:59,TRUE
"115",2218,"007015800407",2018-07-03 14:24:44,TRUE
"116",1991,"008904565077",2018-07-10 21:10:54,TRUE
"117",190,"008928101586",2018-04-21 18:40:31,TRUE
"118",2044,"007013606204",2018-07-04 10:16:57,TRUE
"119",2400,"008936514366",2018-04-23 18:08:08,TRUE
"120",488,"008925572151",2018-06-26 11:12:50,TRUE
"121",1962,"007013611003",2018-07-04 15:51:09,TRUE
"122",2059,"008910116378",2018-07-04 16:25:28,TRUE
"123",2268,"007015806413",2018-07-02 18:49:16,TRUE
"124",2269,"008920181644",2018-07-05 21:13:53,TRUE
"125",2192,"00-701581050",2018-06-25 10:06:40,TRUE
"126",2449,"008937702531",2018-07-01 22:11:49,TRUE
"127",2435,"008937388299",2018-07-08 21:42:18,TRUE
"128",2242,"007015807207",2018-06-30 14:48:41,TRUE
"129",493,"008927273659",2017-06-17 11:05:37,TRUE
"130",2258,"008902577199",2018-07-08 17:25:15,TRUE
"131",207,"008927415961",2018-02-01 22:44:30,TRUE
"132",2202,"007015809005",2018-06-28 11:43:42,TRUE
"133",2236,"007015800601",2018-07-07 00:21:54,TRUE
"134",2231,"008900033401",2018-07-03 14:03:00,TRUE
