"","Date","HourlyIndexReadingRate_Punggol","HourlyIndexReadingRate_Tuas","HourlyIndexReadingRate"
"1",2017-11-14,95.4379562043796,88.2768361581921,94.7419000549149
"2",2017-11-15,94.9209245742092,89.8305084745763,94.4261394838001
"3",2017-11-16,95.749695863747,78.3898305084746,94.062328390994
"4",2017-11-17,95.3315085158151,63.3474576271186,92.2226798462383
"5",2017-11-18,95.4455596107056,64.9717514124294,92.4835255354201
"6",2017-11-19,95.2630778588808,64.0536723163842,92.22954420648
"7",2017-11-20,94.9057177615572,76.1299435028249,93.0807248764415
"8",2017-11-21,83.4081976417743,83.4419817470665,83.4114814345457
"9",2017-11-22,78.4793187347932,83.2768361581921,78.9456342668863
"10",2017-11-23,90.5565693430657,93.2909604519774,90.8223503569467
"11",2017-11-24,96.2971411192214,97.3870056497175,96.4030752333883
"12",2017-11-25,95.6888686131387,95.7627118644068,95.6960461285008
"13",2017-11-26,95.9397810218978,95.7627118644068,95.9225700164745
"14",2017-11-27,95.9549878345499,97.8813559322034,96.1422295442065
"15",2017-11-28,94.2974452554745,97.6694915254237,94.6252059308072
"16",2017-11-29,95.5672141119222,97.0338983050847,95.7097748489841
"17",2017-11-30,95.544403892944,98.0225988700565,95.7852828116419
"18",2017-12-01,95.7953163017032,95.7627118644068,95.7921471718836
"19",2017-12-02,95.8561435523114,98.0932203389831,96.0735859417902
"20",2017-12-03,96.0766423357664,98.2344632768362,96.2863811092806
"21",2017-12-04,95.8485401459854,99.1525423728814,96.169686985173
"22",2017-12-05,95.5139902676399,96.6101694915254,95.6205381658429
"23",2017-12-06,96.0538321167883,97.6694915254237,96.2108731466227
"24",2017-12-07,96.8293795620438,98.4463276836158,96.9865458539264
"25",2017-12-08,96.0462287104623,97.316384180791,96.169686985173
"26",2017-12-09,96.2895377128954,97.8107344632768,96.4373970345964
"27",2017-12-10,95.323905109489,97.4576271186441,95.5313014827018
"28",2017-12-11,92.0696472019465,94.3502824858757,92.2913234486546
"29",2017-12-12,77.1757439640651,78.2268578878748,77.2779115447979
