"Date","Block","IndirectMasterMeters","IndirectSubMeters","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMasterMeters","DirectSubMeters","DirectNetConsumption","DirectNetConsumptionRate","TotalMasterMeters","TotalNetConsumption","TotalNetConsumptionRate"
2016-11-20,"PG_B5",304665,289386,15279,5,100307,97046,3261,3.3,404972,18540,4.6
2016-11-13,"PG_B1",311346,304686,6660,2.1,98763,94191,4572,4.6,410109,11232,2.7
2016-11-13,"PG_B2",303031,291727,11304,3.7,77731,74735,2996,3.9,380762,14300,3.8
2016-11-13,"PG_B3",245548,232586,12962,5.3,66182,62227,3955,6,311730,16917,5.4
2016-11-13,"PG_B4",202471,201873,598,0.3,63208,60852,2356,3.7,265679,2954,1.1
2016-11-13,"PG_B5",294127,290404,3723,1.3,101708,98833,2875,2.8,395835,6598,1.7
2016-11-06,"PG_B1",309716,299182,10534,3.4,102287,96647,5640,5.5,412003,16174,3.9
2016-11-06,"PG_B2",300846,289041,11805,3.9,80081,76835,3246,4.1,380927,15051,4
2016-11-06,"PG_B3",231191,231475,-284,-0.1,65288,60071,5217,8,296479,4933,1.7
2016-11-06,"PG_B4",195851,186833,9018,4.6,63255,60165,3090,4.9,259106,12108,4.7
2016-11-06,"PG_B5",307899,286410,21489,7,101958,98189,3769,3.7,409857,25258,6.2
2016-10-30,"PG_B1",303074,294015,9059,3,111487,94624,16863,15.1,414561,25922,6.3
2016-10-30,"PG_B2",294717,274608,20109,6.8,80442,77497,2945,3.7,375159,23054,6.1
2016-10-30,"PG_B3",230124,228600,1524,0.7,67095,62817,4278,6.4,297219,5802,2
2016-10-30,"PG_B4",193850,184939,8911,4.6,62469,59897,2572,4.1,256319,11483,4.5
2016-10-30,"PG_B5",300135,292205,7930,2.6,102932,99951,2981,2.9,403067,10911,2.7
2016-10-23,"PG_B1",312601,295671,16930,5.4,111106,100533,10573,9.5,423707,27503,6.5
2016-10-23,"PG_B2",300817,285970,14847,4.9,80639,77743,2896,3.6,381456,17743,4.7
2016-10-23,"PG_B3",238252,229003,9249,3.9,65589,61114,4475,6.8,303841,13724,4.5
2016-10-23,"PG_B4",196850,188976,7874,4,62288,60039,2249,3.6,259138,10123,3.9
2016-10-23,"PG_B5",305932,295493,10439,3.4,104100,101946,2154,2.1,410032,12593,3.1
2016-10-16,"PG_B1",332253,317394,14859,4.5,103676,97465,6211,6,435929,21070,4.8
2016-10-16,"PG_B2",309118,288909,20209,6.5,79568,76308,3260,4.1,388686,23469,6
2016-10-16,"PG_B3",237344,234484,2860,1.2,63670,59133,4537,7.1,301014,7397,2.5
2016-10-16,"PG_B4",207752,190943,16809,8.1,62762,60335,2427,3.9,270514,19236,7.1
2016-10-16,"PG_B5",307258,298772,8486,2.8,108081,104983,3098,2.9,415339,11584,2.8
2016-10-09,"PG_B1",320993,321875,-882,-0.3,96571,92461,4110,4.3,417564,3228,0.8
2016-10-09,"PG_B2",297018,283304,13714,4.6,73885,71089,2796,3.8,370903,16510,4.5
2016-10-09,"PG_B3",244400,233338,11062,4.5,66180,61494,4686,7.1,310580,15748,5.1
2016-10-09,"PG_B4",199247,193652,5595,2.8,61233,59171,2062,3.4,260480,7657,2.9
2016-10-09,"PG_B5",298005,294346,3659,1.2,100881,98272,2609,2.6,398886,6268,1.6
2016-10-02,"PG_B1",356202,332763,23439,6.6,95430,91323,4107,4.3,451632,27546,6.1
2016-10-02,"PG_B2",305017,288251,16766,5.5,79932,77646,2286,2.9,384949,19052,4.9
2016-10-02,"PG_B3",232193,233120,-927,-0.4,66164,62193,3971,6,298357,3044,1
2016-10-02,"PG_B4",195548,194829,719,0.4,60505,58522,1983,3.3,256053,2702,1.1
2016-10-02,"PG_B5",292005,288574,3431,1.2,103798,101340,2458,2.4,395803,5889,1.5
2016-09-25,"PG_B1",335242,328468,6774,2,98652,94379,4273,4.3,433894,11047,2.5
2016-09-25,"PG_B2",298601,282313,16288,5.5,80027,77624,2403,3,378628,18691,4.9
2016-09-25,"PG_B3",234967,232264,2703,1.2,65200,60434,4766,7.3,300167,7469,2.5
2016-09-25,"PG_B4",197450,193238,4212,2.1,66018,63982,2036,3.1,263468,6248,2.4
2016-09-25,"PG_B5",295365,287614,7751,2.6,108175,105095,3080,2.8,403540,10831,2.7
2016-09-18,"PG_B1",345141,334851,10290,3,98690,94214,4476,4.5,443831,14766,3.3
2016-09-18,"PG_B2",304983,290209,14774,4.8,81092,78545,2547,3.1,386075,17321,4.5
2016-09-18,"PG_B3",239648,232224,7424,3.1,64211,59340,4871,7.6,303859,12295,4
2016-09-18,"PG_B4",205255,197272,7983,3.9,67762,66127,1635,2.4,273017,9618,3.5
2016-09-18,"PG_B5",296840,290908,5932,2,146894,115199,31695,21.6,443734,37627,8.5
2016-09-11,"PG_B1",318727,311501,7226,2.3,90236,87054,3182,3.5,408963,10408,2.5
2016-09-11,"PG_B2",302591,287705,14886,4.9,84303,81721,2582,3.1,386894,17468,4.5
2016-09-11,"PG_B3",245844,230837,15007,6.1,62904,58801,4103,6.5,308748,19110,6.2
2016-09-11,"PG_B4",209252,202180,7072,3.4,59337,58774,563,0.9,268589,7635,2.8
2016-09-11,"PG_B5",293544,294139,-595,-0.2,97898,95831,2067,2.1,391442,1472,0.4
