"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"128",2016-06-30,132188,947,139.58606124604
"129",2016-07-01,132005,947,139.392819429778
"130",2016-07-02,146368,947,154.559662090813
"131",2016-07-03,145142,947,153.265047518479
"132",2016-07-04,139662,947,147.478352692714
"133",2016-07-05,140659,947,148.531151003168
"134",2016-07-06,136147,947,143.766631467793
"135",2016-07-07,135937,947,143.544878563886
"136",2016-07-08,127563,949,134.418335089568
"137",2016-07-09,137937,949,145.349841938883
"138",2016-07-10,143457,949,151.166491043203
"139",2016-07-11,127250,949,134.088514225501
"140",2016-07-12,128708,949,135.624868282403
"141",2016-07-13,124738,949,131.441517386723
"142",2016-07-14,121310,949,127.829293993678
"143",2016-07-15,121577,949,128.110642781876
"144",2016-07-16,136881,949,144.237091675448
"145",2016-07-17,139235,949,146.717597471022
"146",2016-07-18,130768,949,137.795574288725
"147",2016-07-19,125515,949,132.260273972603
"148",2016-07-20,123306,949,129.932560590095
"149",2016-07-21,125479,949,132.222339304531
"150",2016-07-22,123481,949,130.116965226554
"151",2016-07-23,135543,949,142.827186512118
"152",2016-07-24,142092,949,149.72813487882
"153",2016-07-25,129811,949,136.787144362487
"154",2016-07-26,124767,949,131.472075869336
"155",2016-07-27,129945,949,136.928345626976
"156",2016-07-28,123009,949,129.619599578504
"157",2016-07-29,124811,949,131.518440463646
"158",2016-07-30,138394,949,145.831401475237
"159",2016-07-31,145338,949,153.148577449947
"160",2016-08-01,137000,949,144.36248682824
"161",2016-08-02,129813,949,136.789251844046
"162",2016-08-03,125850,949,132.613277133825
"163",2016-08-04,127514,949,134.366701791359
"164",2016-08-05,136301,949,143.625922023182
"165",2016-08-06,135622,949,142.91043203372
"166",2016-08-07,135093,949,142.353003161222
"167",2016-08-08,132071,949,139.168598524763
"168",2016-08-09,141461,949,149.063224446786
"169",2016-08-10,135376,949,142.651211801897
"170",2016-08-11,128449,949,135.351949420443
"171",2016-08-12,128560,949,135.468914646997
"172",2016-08-13,140101,949,147.630136986301
"173",2016-08-14,141689,949,149.303477344573
"174",2016-08-15,133972,949,141.171759747102
"175",2016-08-16,133781,949,140.970495258166
"176",2016-08-17,128589,949,135.49947312961
"177",2016-08-18,132773,949,139.90832455216
"178",2016-08-19,129728,949,136.699683877766
"179",2016-08-20,142000,949,149.631190727081
"180",2016-08-21,141332,949,148.927291886196
"181",2016-08-22,136171,949,143.488935721812
"182",2016-08-23,132545,949,139.668071654373
"183",2016-08-24,132631,949,139.758693361433
"184",2016-08-25,130288,949,137.289778714436
"185",2016-08-26,130848,949,137.879873551106
"186",2016-08-27,135023,949,142.279241306639
"187",2016-08-28,142623,949,150.287671232877
"188",2016-08-29,135056,949,142.314014752371
"189",2016-08-30,128073,949,134.95574288725
"190",2016-08-31,135472,949,142.752370916754
"191",2016-09-01,128602,949,135.513171759747
"192",2016-09-02,135951,949,143.257112750263
"193",2016-09-03,137295,949,144.673340358272
"194",2016-09-04,139992,949,147.515279241307
"195",2016-09-05,135480,949,142.760800842993
"196",2016-09-06,125525,949,132.2708113804
"197",2016-09-07,128004,949,134.883034773446
"198",2016-09-08,130415,949,137.423603793467
"199",2016-09-09,126612,949,133.416227608008
"200",2016-09-10,131788,949,138.870389884089
"201",2016-09-11,140069,949,147.596417281349
"202",2016-09-12,137818,949,145.224446786091
"203",2016-09-13,134454,949,141.67966280295
"204",2016-09-14,129730,949,136.701791359326
"205",2016-09-15,138786,949,146.244467860906
"206",2016-09-16,129712,949,136.68282402529
