"","AccumulativePoints","NumberOfUsers"
"1",250,8
"2",750,31
"3",1250,34
"4",1750,24
"5",2250,13
"6",2750,8
"7",3250,4
"8",3750,4
"9",4250,1
"10",4750,4
"11",5250,4
"12",5750,7
"13",6250,3
