"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
301,"3100250306","SUB","Punggol",2017-03-27,2017-03-30,4,1,"Moderate","Close","INACTIVE",""
301,"3100250306","SUB","Punggol",2018-05-18,2018-05-23,6,3.33,"Severe","Close","INACTIVE",""
1841,"3003289696","SUB","Yuhua",2018-03-21,2018-04-01,12,2,"Severe","Close","INACTIVE",""
1841,"3003289696","SUB","Yuhua",2018-04-05,2018-04-18,14,6,"Severe","Close","INACTIVE",""
166,"3004521473","SUB","Punggol",2016-03-08,2016-05-13,67,10.33,"Critical","Close","INACTIVE",""
316,"3005448483","SUB","Punggol",2016-06-10,2016-07-02,23,2,"Severe","Close","INACTIVE",""
246,"3100250338","SUB","Punggol",2018-04-01,2018-04-08,8,1,"Severe","Close","INACTIVE",""
310,"3005448479","SUB","Punggol",2016-09-01,2016-09-22,22,21,"Critical","Close","INACTIVE",""
310,"3005448479","SUB","Punggol",2016-09-30,2016-10-03,4,2.67,"Moderate","Close","INACTIVE",""
2067,"3000979395","SUB","Yuhua",2018-03-14,2018-03-17,4,2,"Moderate","Close","INACTIVE",""
2092,"3001053298","SUB","Yuhua",2018-05-11,2018-05-17,7,1,"Severe","Close","INACTIVE",""
159,"3004521172","SUB","Punggol",2016-03-15,2016-04-21,38,9,"Severe","Close","INACTIVE",""
2090,"3001049844","SUB","Yuhua",2018-03-17,2018-03-21,5,1,"Severe","Close","INACTIVE",""
2090,"3001049844","SUB","Yuhua",2018-04-02,2018-04-14,13,1,"Severe","Close","INACTIVE",""
2090,"3001049844","SUB","Yuhua",2018-05-10,2018-05-25,16,3,"Severe","Close","INACTIVE",""
1856,"3003288220","SUB","Yuhua",2018-03-14,2018-03-18,5,3,"Severe","Close","INACTIVE",""
1856,"3003288220","SUB","Yuhua",2018-03-25,2018-03-29,5,5,"Severe","Close","INACTIVE",""
27,"3004479266","SUB","Punggol",2016-03-14,2016-05-02,50,30.67,"Critical","Close","INACTIVE",""
2145,"3003483644","SUB","Yuhua",2018-03-29,2018-06-01,65,2,"Severe","Close","INACTIVE",""
1863,"3003286308","SUB","Yuhua",2018-04-11,2018-04-24,14,6,"Severe","Close","INACTIVE",""
2156,"3003486232","SUB","Yuhua",2018-04-20,2018-04-27,8,3,"Severe","Close","INACTIVE",""
1867,"3003286319","SUB","Yuhua",2018-03-06,2018-05-11,67,4,"Severe","Close","INACTIVE",""
1868,"3003288264","SUB","Yuhua",2018-04-05,2018-04-20,16,7,"Severe","Close","INACTIVE",""
26,"3004478970","SUB","Punggol",2016-04-07,2016-04-10,4,4,"Moderate","Close","INACTIVE",""
26,"3004478970","SUB","Punggol",2016-05-13,2016-05-20,8,5.33,"Severe","Close","INACTIVE",""
40,"3004479690","SUB","Punggol",2016-12-12,2016-12-17,6,7,"Severe","Close","INACTIVE",""
40,"3004479690","SUB","Punggol",2017-02-11,2017-02-14,4,1,"Moderate","Close","INACTIVE",""
2446,"3005448783","SUB","Punggol",2018-05-01,2018-05-04,4,1.33,"Moderate","Close","INACTIVE",""
1892,"3003289147","SUB","Yuhua",2018-04-10,2018-04-16,7,2,"Severe","Close","INACTIVE",""
2189,"3001103428","SUB","Yuhua",2018-03-22,2018-03-28,7,1,"Severe","Close","INACTIVE",""
2189,"3001103428","SUB","Yuhua",2018-05-07,2018-05-10,4,1,"Moderate","Close","INACTIVE",""
2189,"3001103428","SUB","Yuhua",2018-05-28,2018-06-02,6,1,"Severe","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-05-05,2016-05-08,4,1.33,"Moderate","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-06-02,2016-06-07,6,3,"Severe","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-06-29,2016-07-11,13,1.67,"Severe","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-07-19,2016-07-30,12,1.33,"Severe","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-09-10,2016-09-13,4,7,"Moderate","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-09-28,2016-10-04,7,3.33,"Severe","Close","INACTIVE",""
179,"3004521783","SUB","Punggol",2016-10-07,2016-11-19,44,4.67,"Severe","Close","INACTIVE",""
1907,"3003286947","SUB","Yuhua",2018-03-14,2018-04-01,19,3,"Severe","Close","INACTIVE",""
1907,"3003286947","SUB","Yuhua",2018-04-14,2018-04-18,5,1,"Severe","Close","INACTIVE",""
1907,"3003286947","SUB","Yuhua",2018-05-01,2018-05-28,28,3,"Severe","Close","INACTIVE",""
19,"3004478696","SUB","Punggol",2016-05-08,2016-05-11,4,88,"Severe","Close","INACTIVE",""
112,"3004521285","SUB","Punggol",2016-10-15,2016-10-18,4,2,"Moderate","Close","INACTIVE",""
112,"3004521285","SUB","Punggol",2016-12-12,2017-01-26,46,2,"Severe","Close","INACTIVE",""
1910,"3003293297","SUB","Yuhua",2018-03-06,2018-03-20,15,3,"Severe","Close","INACTIVE",""
1910,"3003293297","SUB","Yuhua",2018-04-27,2018-05-04,8,7,"Severe","Close","INACTIVE",""
1923,"3003286998","SUB","Yuhua",2018-04-21,2018-04-24,4,1,"Moderate","Close","INACTIVE",""
1924,"3003289668","SUB","Yuhua",2018-03-10,2018-03-14,5,1,"Severe","Close","INACTIVE",""
15,"3004479207","SUB","Punggol",2016-03-21,2016-03-25,5,12,"Critical","Close","INACTIVE",""
15,"3004479207","SUB","Punggol",2016-03-29,2016-04-17,20,12,"Critical","Close","INACTIVE",""
15,"3004479207","SUB","Punggol",2016-05-08,2016-05-13,6,12,"Critical","Close","INACTIVE",""
81,"3004479481","SUB","Punggol",2016-03-08,2016-04-21,45,47.33,"Critical","Close","INACTIVE",""
82,"3004479816","SUB","Punggol",2017-08-02,2017-08-06,5,1,"Severe","Close","INACTIVE",""
2329,"3003305397","SUB","Yuhua",2018-05-01,2018-05-04,4,23,"Severe","Close","INACTIVE",""
2337,"3003306015","SUB","Yuhua",2018-04-18,2018-04-27,10,2,"Severe","Close","INACTIVE",""
42,"3004480243","SUB","Punggol",2017-02-28,2017-05-27,89,1,"Severe","Close","INACTIVE",""
210,"3100250082","SUB","Punggol",2018-04-14,2018-04-19,6,1,"Severe","Close","INACTIVE",""
210,"3100250082","SUB","Punggol",2018-04-27,2018-05-14,18,1,"Severe","Close","INACTIVE",""
211,"3100250142","SUB","Punggol",2016-08-23,2016-09-01,10,1,"Severe","Close","INACTIVE",""
282,"3100250118","SUB","Punggol",2017-08-15,2017-09-02,19,1,"Severe","Close","INACTIVE",""
2366,"3003304315","SUB","Yuhua",2018-04-24,2018-04-27,4,1,"Moderate","Close","INACTIVE",""
2374,"3003304336","SUB","Yuhua",2018-03-24,2018-04-18,26,2,"Severe","Close","INACTIVE",""
2374,"3003304336","SUB","Yuhua",2018-04-27,2018-05-14,18,1,"Severe","Close","INACTIVE",""
49,"3004478784","SUB","Punggol",2016-03-08,2016-04-22,46,43,"Critical","Close","INACTIVE",""
49,"3004478784","SUB","Punggol",2017-07-07,2017-07-10,4,1,"Moderate","Close","ACTIVE",""
49,"3004478784","SUB","Punggol",2017-11-13,2017-11-22,10,1.67,"Severe","Close","ACTIVE",""
49,"3004478784","SUB","Punggol",2017-11-25,2017-12-05,11,2,"Severe","Close","ACTIVE",""
2007,"3003367728","SUB","Yuhua",2018-04-30,2018-05-09,10,2,"Severe","Close","INACTIVE",""
1903,"3003286941","SUB","Yuhua",2018-04-15,2018-04-19,5,2,"Severe","Close","INACTIVE",""
1904,"3003289183","SUB","Yuhua",2018-03-18,2018-03-21,4,3,"Moderate","Close","INACTIVE",""
1904,"3003289183","SUB","Yuhua",2018-04-03,2018-04-14,12,5,"Severe","Close","INACTIVE",""
83,"3004480078","SUB","Punggol",2017-12-29,2018-01-04,7,2,"Severe","Close","ACTIVE",""
143,"3004521705","SUB","Punggol",2016-09-27,2016-09-30,4,3.67,"Moderate","Close","INACTIVE",""
164,"3004520911","SUB","Punggol",2017-12-19,2017-12-31,13,10.33,"Critical","Close","INACTIVE",""
164,"3004520911","SUB","Punggol",2018-01-06,2018-02-19,45,10.67,"Critical","Close","INACTIVE",""
165,"3004521189","SUB","Punggol",2016-03-15,2016-03-28,14,4,"Severe","Close","INACTIVE",""
165,"3004521189","SUB","Punggol",2016-06-10,2016-06-15,6,1.67,"Severe","Close","INACTIVE",""
165,"3004521189","SUB","Punggol",2016-06-18,2016-06-26,9,1.33,"Severe","Close","INACTIVE",""
165,"3004521189","SUB","Punggol",2016-07-21,2016-08-12,23,3.33,"Severe","Close","INACTIVE",""
165,"3004521189","SUB","Punggol",2016-08-15,2016-09-21,38,2,"Severe","Close","INACTIVE",""
165,"3004521189","SUB","Punggol",2016-10-30,2017-02-27,121,5.33,"Severe","Close","INACTIVE",""
34,"3004479661","SUB","Punggol",2016-03-08,2016-05-01,55,29.67,"Critical","Close","INACTIVE",""
34,"3004479661","SUB","Punggol",2017-01-16,2017-02-27,43,7,"Severe","Close","INACTIVE",""
34,"3004479661","SUB","Punggol",2017-06-29,2017-07-12,14,2,"Severe","Close","ACTIVE",""
34,"3004479661","SUB","Punggol",2018-01-10,2018-01-21,12,1,"Severe","Close","ACTIVE",""
