"Date","Block","IndirectMainMeters","IndirectSubMeters","IndirectNetConsumption","DirectMainMeters","DirectSubMeters","DirectNetConsumption","TotalMainMeters","TotalNetConsumption","TotalNetConsumptionRate"
2016-10-23,"PG_B4",196850,188938,7912,62288,60026,2262,259138,10174,3.93
2016-10-23,"PG_B5",410032,295568,114464,0,101885,-101885,410032,12579,3.07
2016-10-16,"PG_B1",332253,317392,14861,103676,97461,6215,435929,21076,4.83
2016-10-16,"PG_B2",309118,288924,20194,79568,76308,3260,388686,23454,6.03
2016-10-16,"PG_B3",237344,234457,2887,63670,59131,4539,301014,7426,2.47
2016-10-16,"PG_B4",207752,190954,16798,62762,60344,2418,270514,19216,7.1
2016-10-16,"PG_B5",415339,298845,116494,0,104973,-104973,415339,11521,2.77
2016-10-09,"PG_B1",320993,321904,-911,96571,92466,4105,417564,3194,0.76
2016-10-09,"PG_B2",297018,283323,13695,73885,71089,2796,370903,16491,4.45
2016-10-09,"PG_B3",244400,233312,11088,66180,61434,4746,310580,15834,5.1
2016-10-09,"PG_B4",199247,193697,5550,61233,59143,2090,260480,7640,2.93
2016-10-09,"PG_B5",398886,294325,104561,0,98276,-98276,398886,6285,1.58
2016-10-02,"PG_B1",356202,332779,23423,95430,91310,4120,451632,27543,6.1
2016-10-02,"PG_B2",305017,288257,16760,79932,77645,2287,384949,19047,4.95
2016-10-02,"PG_B3",232193,233036,-843,66164,62203,3961,298357,3118,1.05
2016-10-02,"PG_B4",195548,194887,661,60505,58515,1990,256053,2651,1.04
2016-10-02,"PG_B5",395803,288581,107222,0,101261,-101261,395803,5961,1.51
2016-09-25,"PG_B1",335242,328492,6750,98652,94379,4273,433894,11023,2.54
2016-09-25,"PG_B2",298601,282517,16084,80027,77629,2398,378628,18482,4.88
2016-09-25,"PG_B3",234967,232329,2638,65200,60466,4734,300167,7372,2.46
2016-09-25,"PG_B4",197450,193262,4188,66018,63983,2035,263468,6223,2.36
2016-09-25,"PG_B5",403540,287575,115965,0,105097,-105097,403540,10868,2.69
2016-09-18,"PG_B1",345141,334809,10332,98690,94205,4485,443831,14817,3.34
2016-09-18,"PG_B2",304983,290202,14781,81092,78549,2543,386075,17324,4.49
2016-09-18,"PG_B3",239648,232269,7379,64211,59337,4874,303859,12253,4.03
2016-09-18,"PG_B4",205255,197260,7995,67762,66111,1651,273017,9646,3.53
2016-09-18,"PG_B5",443734,290906,152828,0,115222,-115222,443734,37606,8.47
2016-09-11,"PG_B1",318727,311514,7213,90236,87047,3189,408963,10402,2.54
2016-09-11,"PG_B2",302591,287698,14893,84303,81723,2580,386894,17473,4.52
2016-09-11,"PG_B3",245844,230833,15011,62904,58794,4110,308748,19121,6.19
2016-09-11,"PG_B4",209252,202189,7063,59337,58766,571,268589,7634,2.84
2016-09-11,"PG_B5",391442,294131,97311,0,95810,-95810,391442,1501,0.38
