"","CustomerID","Category"
"1",356,"Unique"
"2",693,"Unique"
"3",388,"Unique"
"4",483,"Unique"
"5",675,"Unique"
"6",572,"Unique"
"7",496,"Unique"
"8",591,"Unique"
"9",324,"Unique"
"10",415,"Unique"
"11",542,"Unique"
"12",336,"Unique"
"13",424,"Unique"
"14",377,"Unique"
"15",592,"Unique"
"16",586,"Unique"
"17",419,"Unique"
"18",660,"Unique"
"19",492,"Unique"
"20",479,"Unique"
"21",633,"Unique"
"22",397,"Unique"
"23",580,"Unique"
"24",500,"Unique"
"25",558,"Unique"
"26",351,"Unique"
"27",548,"Unique"
"28",489,"Unique"
"29",481,"Unique"
"30",705,"Unique"
"31",603,"Unique"
"32",686,"Unique"
"33",526,"Unique"
"34",600,"Unique"
"35",731,"Unique"
"36",743,"Unique"
"37",746,"Unique"
"38",747,"Unique"
"39",750,"Unique"
"40",752,"Unique"
"41",755,"Unique"
"42",758,"Unique"
"43",765,"Unique"
"44",777,"Unique"
"45",780,"Unique"
"46",778,"Unique"
"47",784,"Unique"
"48",789,"Unique"
"49",791,"Unique"
"50",793,"Unique"
"51",795,"Unique"
"52",798,"Unique"
"53",801,"Unique"
"54",804,"Unique"
"55",816,"Unique"
"56",817,"Unique"
"57",818,"Unique"
"58",819,"Unique"
"59",830,"Unique"
"60",831,"Unique"
"61",833,"Unique"
"62",834,"Unique"
"63",373,"Unique"
"64",839,"Unique"
"65",840,"Unique"
"66",841,"Unique"
"67",843,"Unique"
"68",846,"Unique"
"69",848,"Unique"
"70",852,"Unique"
"71",853,"Unique"
"72",854,"Unique"
"73",855,"Unique"
"74",635,"Low"
"75",689,"Low"
"76",378,"Low"
"77",690,"Low"
"78",528,"Low"
"79",623,"Low"
"80",524,"Low"
"81",569,"Low"
"82",533,"Low"
"83",375,"Low"
"84",593,"Low"
"85",478,"Low"
"86",339,"Low"
"87",317,"Low"
"88",597,"Low"
"89",434,"Low"
"90",540,"Low"
"91",342,"Low"
"92",430,"Low"
"93",455,"Low"
"94",726,"Low"
"95",374,"Low"
"96",516,"Low"
"97",346,"Low"
"98",737,"Low"
"99",744,"Low"
"100",749,"Low"
"101",751,"Low"
"102",754,"Low"
"103",759,"Low"
"104",763,"Low"
"105",767,"Low"
"106",769,"Low"
"107",776,"Low"
"108",783,"Low"
"109",786,"Low"
"110",794,"Low"
"111",807,"Low"
"112",814,"Low"
"113",815,"Low"
"114",821,"Low"
"115",832,"Low"
"116",688,"Moderate"
"117",650,"Moderate"
"118",314,"Moderate"
"119",674,"Moderate"
"120",612,"Moderate"
"121",609,"Moderate"
"122",727,"Moderate"
"123",753,"Moderate"
"124",756,"Moderate"
"125",764,"Moderate"
"126",766,"Moderate"
"127",768,"Moderate"
"128",771,"Moderate"
"129",775,"Moderate"
"130",774,"Moderate"
"131",779,"Moderate"
"132",781,"Moderate"
"133",785,"Moderate"
"134",787,"Moderate"
"135",796,"Moderate"
"136",797,"Moderate"
"137",802,"Moderate"
"138",812,"Moderate"
"139",813,"Moderate"
"140",820,"Moderate"
"141",826,"Moderate"
"142",849,"Moderate"
"143",850,"Moderate"
"144",851,"Moderate"
"145",844,"Moderate"
"146",837,"Moderate"
"147",395,"Regular"
"148",552,"Regular"
"149",464,"Regular"
"150",513,"Regular"
"151",499,"Regular"
"152",700,"Regular"
"153",647,"Regular"
"154",465,"Regular"
"155",621,"Regular"
"156",326,"Regular"
"157",560,"Regular"
"158",619,"Regular"
"159",439,"Regular"
"160",550,"Regular"
"161",412,"Regular"
"162",704,"Regular"
"163",400,"Regular"
"164",545,"Regular"
"165",546,"Regular"
"166",664,"Regular"
"167",665,"Regular"
"168",583,"Regular"
"169",642,"Regular"
"170",681,"Regular"
"171",518,"Regular"
"172",564,"Regular"
"173",682,"Regular"
"174",632,"Regular"
"175",371,"Regular"
"176",595,"Regular"
"177",594,"Regular"
"178",617,"Regular"
"179",707,"Regular"
"180",725,"Regular"
"181",684,"Regular"
"182",549,"Regular"
"183",631,"Regular"
"184",625,"Regular"
"185",709,"Regular"
"186",728,"Regular"
"187",425,"Regular"
"188",732,"Regular"
"189",733,"Regular"
"190",735,"Regular"
"191",738,"Regular"
"192",739,"Regular"
"193",741,"Regular"
"194",742,"Regular"
"195",745,"Regular"
"196",748,"Regular"
"197",445,"Regular"
"198",790,"Regular"
"199",757,"Regular"
"200",761,"Regular"
"201",760,"Regular"
"202",762,"Regular"
"203",770,"Regular"
"204",772,"Regular"
"205",773,"Regular"
"206",782,"Regular"
"207",788,"Regular"
"208",792,"Regular"
"209",800,"Regular"
"210",803,"Regular"
"211",805,"Regular"
"212",806,"Regular"
"213",808,"Regular"
"214",810,"Regular"
"215",811,"Regular"
"216",822,"Regular"
"217",823,"Regular"
"218",824,"Regular"
"219",829,"Regular"
"220",835,"Regular"
"221",836,"Regular"
"222",838,"Regular"
"223",842,"Regular"
"224",845,"Regular"
"225",847,"Regular"
