"","id_service_point","date","MinCons_60"
"199",617,2018-04-13,0
"200",617,2018-04-14,0
"201",617,2018-04-15,1
"202",617,2018-04-16,0
"203",617,2018-04-17,0
"204",617,2018-04-18,0
"205",617,2018-04-19,0
"206",617,2018-04-20,0
"207",617,2018-04-21,0
"208",617,2018-04-22,0
"209",617,2018-04-23,0
"210",617,2018-04-24,0
"211",617,2018-04-25,0
"212",617,2018-04-26,0
"213",617,2018-04-27,0
"214",617,2018-04-28,0
"215",617,2018-04-29,0
"216",617,2018-04-30,0
"217",617,2018-05-01,0
"218",617,2018-05-02,0
"219",617,2018-05-03,0
"220",617,2018-05-04,0
"221",617,2018-05-05,0
"222",617,2018-05-06,0
"223",617,2018-05-07,0
"224",617,2018-05-08,0
"225",617,2018-05-09,0
"226",617,2018-05-10,0
"227",617,2018-05-11,0
"228",617,2018-05-12,0
"229",617,2018-05-13,0
"230",617,2018-05-14,0
"231",617,2018-05-15,0
"232",617,2018-05-16,0
"233",617,2018-05-17,0
"234",617,2018-05-18,0
"235",617,2018-05-19,0
"236",617,2018-05-20,0
"237",617,2018-05-21,0
"238",617,2018-05-22,0
"239",617,2018-05-23,0
"240",617,2018-05-24,0
"241",617,2018-05-25,0
"242",617,2018-05-26,1
"243",617,2018-05-27,0
"244",617,2018-05-28,0
"245",617,2018-05-29,0
"246",617,2018-05-30,0
"247",617,2018-05-31,0
"248",617,2018-06-01,0
"249",617,2018-06-02,0
"250",617,2018-06-03,0
"251",618,2018-04-01,0
"252",618,2018-04-02,0
"253",618,2018-04-03,0
"254",618,2018-04-04,0
"255",618,2018-04-05,0
"256",618,2018-04-06,0
"257",618,2018-04-07,0
"258",618,2018-04-08,0
"259",618,2018-04-09,0
"260",618,2018-04-10,0
"261",618,2018-04-11,0
"262",618,2018-04-12,0
"263",618,2018-04-13,0
"264",618,2018-04-14,0
"265",618,2018-04-15,0
"266",618,2018-04-16,0
"267",618,2018-04-17,0
"268",618,2018-04-18,0
"269",618,2018-04-19,0
"270",618,2018-04-20,0
"271",618,2018-04-21,0
"272",618,2018-04-22,0
"273",618,2018-04-23,0
"274",618,2018-04-24,0
"275",618,2018-04-25,0
"276",618,2018-04-26,0
"277",618,2018-04-27,0
"278",618,2018-04-28,0
"279",618,2018-04-29,0
"280",618,2018-04-30,0
"281",618,2018-05-01,0
"282",618,2018-05-02,0
"283",618,2018-05-03,0
"284",618,2018-05-04,0
"285",618,2018-05-05,0
"286",618,2018-05-06,0
"287",618,2018-05-07,0
"288",618,2018-05-08,0
"289",618,2018-05-09,0
"290",618,2018-05-10,0
"291",618,2018-05-11,0
"292",618,2018-05-12,0
"293",618,2018-05-13,0
"294",618,2018-05-14,0
"295",618,2018-05-15,0
"296",618,2018-05-16,0
"297",618,2018-05-17,0
"298",618,2018-05-18,0
"299",618,2018-05-19,0
"300",618,2018-05-20,0
"301",618,2018-05-21,0
"302",618,2018-05-22,0
"303",618,2018-05-23,0
"304",618,2018-05-24,0
"305",618,2018-05-25,0
"306",618,2018-05-26,0
"307",618,2018-05-27,0
"308",618,2018-05-28,0
"309",618,2018-05-29,0
"310",618,2018-05-30,0
"311",618,2018-05-31,0
"312",618,2018-06-01,0
"313",618,2018-06-02,0
"314",618,2018-06-03,0
"315",618,2018-06-04,9
"316",619,2018-04-01,0
"317",619,2018-04-02,0
"318",619,2018-04-03,0
"319",619,2018-04-04,0
"320",619,2018-04-05,0
"321",619,2018-04-06,0
"322",619,2018-04-07,0
"323",619,2018-04-08,0
"324",619,2018-04-09,0
"325",619,2018-04-11,0
"326",619,2018-04-12,0
"327",619,2018-04-13,0
"328",619,2018-04-14,0
"329",619,2018-04-15,0
"330",619,2018-04-16,0
"331",619,2018-04-17,0
"332",619,2018-04-18,0
"333",619,2018-04-19,0
"334",619,2018-04-20,0
"335",619,2018-04-21,0
"336",619,2018-04-22,0
"337",619,2018-04-23,0
"338",619,2018-04-24,0
"339",619,2018-04-25,0
"340",619,2018-04-26,0
"341",619,2018-04-27,0
"342",619,2018-04-28,0
"343",619,2018-04-29,0
"344",619,2018-04-30,0
"345",619,2018-05-01,0
"346",619,2018-05-02,0
"347",619,2018-05-03,0
"348",619,2018-05-04,0
"349",619,2018-05-05,0
"350",619,2018-05-06,0
"351",619,2018-05-07,0
"352",619,2018-05-08,0
"353",619,2018-05-09,0
"354",619,2018-05-10,0
"355",619,2018-05-11,0
"356",619,2018-05-12,0
"357",619,2018-05-13,0
"358",619,2018-05-14,0
"359",619,2018-05-15,0
"360",619,2018-05-16,0
"361",619,2018-05-17,0
"362",619,2018-05-18,0
"363",619,2018-05-19,0
"364",619,2018-05-20,0
"365",619,2018-05-21,0
"366",619,2018-05-22,0
"367",619,2018-05-23,0
"368",619,2018-05-24,0
"369",619,2018-05-25,0
"370",619,2018-05-26,40
"371",619,2018-05-27,0
"372",619,2018-05-28,0
"373",619,2018-05-29,0
"374",619,2018-05-30,0
"375",619,2018-05-31,0
"376",619,2018-06-01,0
"377",619,2018-06-02,0
"378",619,2018-06-03,0
"379",620,2018-04-01,0
"380",620,2018-04-02,0
"381",620,2018-04-03,0
"382",620,2018-04-04,0
"383",620,2018-04-05,0
"384",620,2018-04-06,0
"385",620,2018-04-07,0
"386",620,2018-04-08,0
"387",620,2018-04-09,0
"388",620,2018-04-10,0
"389",620,2018-04-11,0
"390",620,2018-04-12,0
"391",620,2018-04-13,0
"392",620,2018-04-14,0
"393",620,2018-04-15,0
"394",620,2018-04-16,0
"395",620,2018-04-17,0
"396",620,2018-04-18,0
"397",620,2018-04-19,0
"398",620,2018-04-20,0
"399",620,2018-04-21,0
"400",620,2018-04-22,0
"401",620,2018-04-23,0
"402",620,2018-04-24,0
"403",620,2018-04-25,0
"404",620,2018-04-26,0
"405",620,2018-04-27,0
"406",620,2018-04-28,0
"407",620,2018-04-29,0
"408",620,2018-04-30,0
"409",620,2018-05-01,0
"410",620,2018-05-02,0
"411",620,2018-05-03,0
"412",620,2018-05-04,0
"413",620,2018-05-05,0
"414",620,2018-05-06,0
"415",620,2018-05-07,0
"416",620,2018-05-08,0
"417",620,2018-05-09,0
"418",620,2018-05-10,0
"419",620,2018-05-11,0
"420",620,2018-05-12,0
"421",620,2018-05-13,0
"422",620,2018-05-14,0
"423",620,2018-05-15,0
"424",620,2018-05-16,0
"425",620,2018-05-17,0
"426",620,2018-05-18,0
"427",620,2018-05-19,0
"428",620,2018-05-20,0
"429",620,2018-05-21,0
"430",620,2018-05-22,0
"431",620,2018-05-23,0
"432",620,2018-05-24,0
"433",620,2018-05-25,0
"434",620,2018-05-26,0
"435",620,2018-05-27,0
"436",620,2018-05-28,0
"437",620,2018-05-29,0
"438",620,2018-05-30,0
"439",620,2018-05-31,0
"440",620,2018-06-01,0
"441",620,2018-06-02,0
"442",620,2018-06-03,0
"443",621,2018-04-01,3
"444",621,2018-04-02,3
"445",621,2018-04-03,3
"446",621,2018-04-04,2
"447",621,2018-04-05,2
"448",621,2018-04-06,2
"449",621,2018-04-07,3
"450",621,2018-04-08,3
"451",621,2018-04-09,2
"452",621,2018-04-10,2
"453",621,2018-04-11,3
"454",621,2018-04-12,3
"455",621,2018-04-13,3
"456",621,2018-04-14,3
"457",621,2018-04-15,3
"458",621,2018-04-16,2
"459",621,2018-04-17,2
"460",621,2018-04-18,3
"461",621,2018-04-19,2
"462",621,2018-04-20,2
"463",621,2018-04-21,2
"464",621,2018-04-22,2
"465",621,2018-04-23,2
"466",621,2018-04-24,2
"467",621,2018-04-25,2
"468",621,2018-04-26,2
"469",621,2018-04-27,2
"470",621,2018-04-28,2
"471",621,2018-04-29,2
"472",621,2018-04-30,2
"473",621,2018-05-01,2
"474",621,2018-05-02,2
"475",621,2018-05-03,2
"476",621,2018-05-04,2
"477",621,2018-05-05,2
"478",621,2018-05-06,2
"479",621,2018-05-07,2
"480",621,2018-05-08,2
"481",621,2018-05-09,2
"482",621,2018-05-10,2
"483",621,2018-05-11,2
"484",621,2018-05-12,2
"485",621,2018-05-13,2
"486",621,2018-05-14,1
"487",621,2018-05-15,2
"488",621,2018-05-16,2
"489",621,2018-05-17,2
"490",621,2018-05-18,1
"491",621,2018-05-19,2
"492",621,2018-05-20,1
"493",621,2018-05-21,1
"494",621,2018-05-22,1
"495",621,2018-05-23,1
"496",621,2018-05-24,1
"497",621,2018-05-25,1
"498",621,2018-05-26,2
"499",621,2018-05-27,1
"500",621,2018-05-28,1
"501",621,2018-05-29,1
"502",621,2018-05-30,1
"503",621,2018-05-31,2
"504",621,2018-06-01,1
"505",621,2018-06-02,2
"506",621,2018-06-03,1
"507",621,2018-06-04,44
"508",622,2018-04-01,0
"509",622,2018-04-02,0
"510",622,2018-04-03,0
"511",622,2018-04-04,0
"512",622,2018-04-05,0
"513",622,2018-04-06,0
"514",622,2018-04-07,0
"515",622,2018-04-08,0
"516",622,2018-04-09,159
"517",622,2018-04-10,0
"518",622,2018-04-11,0
"519",622,2018-04-12,0
"520",622,2018-04-13,0
"521",622,2018-04-14,0
"522",622,2018-04-15,0
"523",622,2018-04-16,0
"524",622,2018-04-17,0
"525",622,2018-04-18,0
"526",622,2018-04-19,0
"527",622,2018-04-20,0
"528",622,2018-04-21,0
"529",622,2018-04-22,0
"530",622,2018-04-23,0
"531",622,2018-04-24,0
"532",622,2018-04-25,0
"533",622,2018-04-26,0
"534",622,2018-04-27,0
"535",622,2018-04-28,0
"536",622,2018-04-29,0
"537",622,2018-04-30,0
"538",622,2018-05-01,0
"539",622,2018-05-02,0
"540",622,2018-05-03,0
"541",622,2018-05-04,0
"542",622,2018-05-05,0
"543",622,2018-05-06,0
"544",622,2018-05-07,0
"545",622,2018-05-08,0
"546",622,2018-05-09,0
"547",622,2018-05-10,0
"548",622,2018-05-11,0
"549",622,2018-05-12,0
"550",622,2018-05-13,5
"551",622,2018-05-14,0
"552",622,2018-05-15,0
"553",622,2018-05-16,0
"554",622,2018-05-17,0
"555",622,2018-05-18,0
"556",622,2018-05-19,0
"557",622,2018-05-20,0
"558",622,2018-05-21,69
"559",622,2018-05-22,0
"560",622,2018-05-23,0
"561",622,2018-05-24,78
"562",622,2018-05-25,1
"563",622,2018-05-26,0
"564",622,2018-05-27,0
"565",622,2018-05-28,0
"566",622,2018-05-29,0
"567",622,2018-05-30,0
"568",622,2018-05-31,0
"569",622,2018-06-01,0
"570",622,2018-06-02,0
"571",622,2018-06-03,0
"572",623,2018-04-01,0
"573",623,2018-04-02,0
"574",623,2018-04-03,0
"575",623,2018-04-04,0
"576",623,2018-04-05,0
"577",623,2018-04-06,0
"578",623,2018-04-07,0
"579",623,2018-04-08,0
"580",623,2018-04-09,0
"581",623,2018-04-10,0
"582",623,2018-04-11,0
"583",623,2018-04-12,39
"584",623,2018-04-13,0
"585",623,2018-04-14,0
"586",623,2018-04-15,0
"587",623,2018-04-16,0
"588",623,2018-04-18,0
"589",623,2018-04-19,0
"590",623,2018-04-20,0
"591",623,2018-04-21,0
"592",623,2018-04-22,0
"593",623,2018-04-23,0
"594",623,2018-04-24,0
"595",623,2018-04-25,0
"596",623,2018-04-26,0
"597",623,2018-04-27,55
"598",623,2018-04-28,0
"599",623,2018-04-29,0
"600",623,2018-04-30,0
"601",623,2018-05-01,0
"602",623,2018-05-02,0
"603",623,2018-05-03,0
"604",623,2018-05-04,0
"605",623,2018-05-05,3
"606",623,2018-05-06,0
"607",623,2018-05-07,0
