"","id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
"1214",1331,"S03",1800,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1215",1332,"S03",1819,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1216",1336,"S03",323,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1217",1337,"S03",329,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1218",1339,"S03",1769,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1219",1340,"S03",547,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1220",1341,"S03",1764,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1221",1342,"S03",415,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1222",1343,"S03",2440,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1223",1347,"S03",2450,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1224",1349,"S03",239,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1225",1350,"S03",225,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1226",1354,"S03",195,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1227",1355,"S03",219,"AVAILABLE",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-13 15:00:03,"-"
"1228",1358,"S04",2454,"AVAILABLE",NA,2018-08-14,2018-11-14,2018-08-14 15:00:03,2018-08-14 15:00:03,"-"
"1229",1361,"S02",2067,"AVAILABLE","738",2018-08-15,NA,2018-08-15 15:00:02,2018-08-15 15:00:02,"-"
"1230",1362,"S02",2361,"AVAILABLE","739",2018-08-15,NA,2018-08-15 15:00:02,2018-08-15 15:00:02,"-"
"1231",1363,"S04",2342,"AVAILABLE",NA,2018-08-16,2018-11-16,2018-08-16 15:00:03,2018-08-16 15:00:03,"-"
"1232",1360,"S02",70,"SUCCESS","737",2018-08-14,NA,2018-08-14 15:00:03,2018-08-17 15:00:02,"-"
"1233",1367,"S04",70,"AVAILABLE",NA,2018-08-17,2018-11-17,2018-08-17 15:00:02,2018-08-17 15:00:02,"-"
"1234",1369,"S04",2064,"AVAILABLE",NA,2018-08-18,2018-11-18,2018-08-18 15:00:03,2018-08-18 15:00:03,"-"
"1235",1370,"S02",2269,"AVAILABLE","743",2018-08-18,NA,2018-08-18 15:00:03,2018-08-18 15:00:03,"-"
"1236",1368,"S02",1948,"SUCCESS","742",2018-08-17,NA,2018-08-17 15:00:02,2018-08-19 15:00:03,"-"
"1237",1301,"S02",10,"SUCCESS","728",2018-08-10,NA,2018-08-10 15:00:03,2018-08-20 15:00:03,"-"
"1238",1365,"S02",2009,"SUCCESS","741",2018-08-16,NA,2018-08-16 15:00:03,2018-08-20 15:00:03,"-"
"1239",1374,"S04",10,"AVAILABLE",NA,2018-08-20,2018-11-20,2018-08-20 15:00:03,2018-08-20 15:00:03,"-"
"1240",1375,"S04",2009,"AVAILABLE",NA,2018-08-20,2018-11-20,2018-08-20 15:00:03,2018-08-20 15:00:03,"-"
"1241",1319,"S03",2236,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1242",1320,"S03",2237,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1243",1321,"S03",2285,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1244",1323,"S03",2449,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1245",1325,"S03",1763,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1246",1327,"S03",65,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1247",1328,"S03",89,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1248",1329,"S03",1810,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1249",1333,"S03",2438,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1250",1334,"S03",357,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1251",1335,"S03",2436,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1252",1338,"S03",2471,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1253",1344,"S03",1826,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1254",1345,"S03",2427,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1255",1346,"S03",459,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1256",1348,"S03",501,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1257",1351,"S03",194,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1258",1352,"S03",250,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1259",1353,"S03",282,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
