"Date","Block","LeakVolume","ConsumptionVolume","LeakPerConsumptionRate"
2017-10-29,"PG_B3",0,221527,0
2017-10-29,"PG_B4",48,209283,0.02
2017-10-29,"PG_B5",96,303955,0.03
2017-11-05,"PG_B1",1200,365391,0.33
2017-11-05,"PG_B2",3960,341907,1.16
2017-11-05,"PG_B3",48,248864,0.02
2017-11-05,"PG_B4",0,238819,0
2017-11-05,"PG_B5",72,330287,0.02
2017-11-12,"PG_B1",3312,366473,0.9
2017-11-12,"PG_B2",4392,331747,1.32
2017-11-12,"PG_B3",48,242127,0.02
2017-11-12,"PG_B4",0,226145,0
2017-11-12,"PG_B5",2688,334807,0.8
2017-11-19,"PG_B1",3240,358500,0.9
2017-11-19,"PG_B2",3504,345965,1.01
2017-11-19,"PG_B3",1008,287198,0.35
2017-11-19,"PG_B4",24,226252,0.01
2017-11-19,"PG_B5",600,334311,0.18
2017-11-26,"PG_B1",528,333831,0.16
2017-11-26,"PG_B2",7704,340058,2.27
2017-11-26,"PG_B3",0,272014,0
2017-11-26,"PG_B4",432,208088,0.21
2017-11-26,"PG_B5",888,323170,0.27
2017-12-03,"PG_B1",744,343084,0.22
2017-12-03,"PG_B2",600,336849,0.18
2017-12-03,"PG_B3",144,285752,0.05
2017-12-03,"PG_B4",0,220708,0
2017-12-03,"PG_B5",1128,331541,0.34
2017-12-10,"PG_B1",936,329900,0.28
2017-12-10,"PG_B2",4416,335467,1.32
2017-12-10,"PG_B3",0,288288,0
2017-12-10,"PG_B4",0,218973,0
2017-12-10,"PG_B5",504,325751,0.15
2017-12-17,"PG_B1",504,332186,0.15
2017-12-17,"PG_B2",624,339073,0.18
2017-12-17,"PG_B3",360,266585,0.14
2017-12-17,"PG_B4",0,208364,0
2017-12-17,"PG_B5",192,328039,0.06
2017-12-24,"PG_B1",240,323225,0.07
2017-12-24,"PG_B2",2088,323708,0.65
2017-12-24,"PG_B3",24,281079,0.01
2017-12-24,"PG_B4",0,215780,0
2017-12-24,"PG_B5",312,337984,0.09
2017-12-31,"PG_B1",336,365938,0.09
2017-12-31,"PG_B2",2136,312635,0.68
2017-12-31,"PG_B3",24,282627,0.01
2017-12-31,"PG_B4",24,236291,0.01
2017-12-31,"PG_B5",312,341377,0.09
2018-01-07,"PG_B1",168,375434,0.04
2018-01-07,"PG_B2",1152,336646,0.34
2018-01-07,"PG_B3",48,291788,0.02
2018-01-07,"PG_B4",1032,235577,0.44
2018-01-07,"PG_B5",96,354771,0.03
2018-01-14,"PG_B1",1056,352826,0.3
2018-01-14,"PG_B2",2040,327823,0.62
2018-01-14,"PG_B3",168,283657,0.06
2018-01-14,"PG_B4",0,223754,0
2018-01-14,"PG_B5",24,333984,0.01
2018-01-21,"PG_B1",216,350745,0.06
2018-01-21,"PG_B2",2544,337830,0.75
2018-01-21,"PG_B3",120,291422,0.04
2018-01-21,"PG_B4",24,230826,0.01
2018-01-21,"PG_B5",120,351652,0.03
2018-01-28,"PG_B1",408,349848,0.12
2018-01-28,"PG_B2",3048,340531,0.9
2018-01-28,"PG_B3",48,291566,0.02
2018-01-28,"PG_B4",0,228237,0
2018-01-28,"PG_B5",96,360354,0.03
2018-02-04,"PG_B1",3096,357812,0.87
2018-02-04,"PG_B2",2712,328631,0.83
2018-02-04,"PG_B3",72,295595,0.02
2018-02-04,"PG_B4",0,234519,0
2018-02-04,"PG_B5",72,361981,0.02
2018-02-11,"PG_B1",1128,356693,0.32
2018-02-11,"PG_B2",8160,352522,2.31
2018-02-11,"PG_B3",0,298312,0
2018-02-11,"PG_B4",0,226947,0
2018-02-11,"PG_B5",192,355659,0.05
2018-02-18,"PG_B1",696,368107,0.19
2018-02-18,"PG_B2",6792,354222,1.92
2018-02-18,"PG_B3",288,308206,0.09
2018-02-18,"PG_B4",0,230064,0
2018-02-18,"PG_B5",216,365200,0.06
2018-02-25,"PG_B1",168,362275,0.05
2018-02-25,"PG_B2",3624,336681,1.08
2018-02-25,"PG_B3",96,299242,0.03
2018-02-25,"PG_B4",0,216300,0
2018-02-25,"PG_B5",240,354941,0.07
2018-03-04,"PG_B1",48,366046,0.01
2018-03-04,"PG_B2",600,336722,0.18
2018-03-04,"PG_B3",240,297011,0.08
2018-03-04,"PG_B4",0,218760,0
2018-03-04,"PG_B5",144,352558,0.04
2018-03-11,"PG_B1",0,351206,0
2018-03-11,"PG_B2",792,332594,0.24
2018-03-11,"PG_B3",192,301053,0.06
2018-03-11,"PG_B4",0,216048,0
2018-03-11,"PG_B5",120,357641,0.03
2018-03-18,"PG_B1",0,353577,0
2018-03-18,"PG_B2",192,342492,0.06
2018-03-18,"PG_B3",120,290767,0.04
2018-03-18,"PG_B4",0,212471,0
2018-03-18,"PG_B5",168,357038,0.05
2018-03-25,"PG_B1",0,360253,0
2018-03-25,"PG_B2",360,337828,0.11
2018-03-25,"PG_B3",672,312381,0.22
2018-03-25,"PG_B4",0,207669,0
2018-03-25,"PG_B5",360,364083,0.1
2018-04-01,"PG_B1",0,361039,0
2018-04-01,"PG_B2",144,332831,0.04
2018-04-01,"PG_B3",168,291541,0.06
2018-04-01,"PG_B4",0,205616,0
2018-04-01,"PG_B5",96,351846,0.03
2018-04-08,"PG_B1",24,356775,0.01
2018-04-08,"PG_B2",1128,339754,0.33
2018-04-08,"PG_B3",192,295701,0.06
2018-04-08,"PG_B4",24,209672,0.01
2018-04-08,"PG_B5",24,370136,0.01
2018-04-15,"PG_B1",0,373265,0
2018-04-15,"PG_B2",528,349381,0.15
2018-04-15,"PG_B3",120,293518,0.04
2018-04-15,"PG_B4",48,217916,0.02
2018-04-15,"PG_B5",456,362138,0.13
2018-04-22,"PG_B1",0,380606,0
2018-04-22,"PG_B2",216,343171,0.06
2018-04-22,"PG_B3",96,284711,0.03
2018-04-22,"PG_B4",24,214336,0.01
2018-04-22,"PG_B5",192,355812,0.05
2018-04-29,"PG_B1",0,372872,0
2018-04-29,"PG_B2",24,352972,0.01
2018-04-29,"PG_B3",72,275705,0.03
2018-04-29,"PG_B4",0,216994,0
2018-04-29,"PG_B5",144,343350,0.04
2018-05-06,"PG_B1",0,388039,0
2018-05-06,"PG_B2",24,363032,0.01
2018-05-06,"PG_B3",96,296462,0.03
2018-05-06,"PG_B4",96,217625,0.04
2018-05-06,"PG_B5",96,350373,0.03
2018-05-13,"PG_B1",264,384096,0.07
2018-05-13,"PG_B2",144,362867,0.04
2018-05-13,"PG_B3",192,285206,0.07
2018-05-13,"PG_B4",24,208648,0.01
2018-05-13,"PG_B5",144,352405,0.04
2018-05-20,"PG_B1",0,377372,0
2018-05-20,"PG_B2",96,354779,0.03
2018-05-20,"PG_B3",0,298065,0
2018-05-20,"PG_B4",0,214567,0
2018-05-20,"PG_B5",72,359805,0.02
2018-05-27,"PG_B1",0,383749,0
2018-05-27,"PG_B2",384,347038,0.11
2018-05-27,"PG_B3",336,378791,0.09
2018-05-27,"PG_B4",0,209521,0
2018-05-27,"PG_B5",120,360555,0.03
2018-06-03,"PG_B1",0,367248,0
2018-06-03,"PG_B2",312,353508,0.09
2018-06-03,"PG_B3",480,282081,0.17
2018-06-03,"PG_B4",0,214269,0
2018-06-03,"PG_B5",96,345378,0.03
2018-06-10,"PG_B1",48,400911,0.01
2018-06-10,"PG_B2",336,376374,0.09
2018-06-10,"PG_B3",456,265998,0.17
2018-06-10,"PG_B4",0,218069,0
2018-06-10,"PG_B5",360,346396,0.1
