"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
177,"S03",190,"AVAILABLE",NA,2017-06-26,2017-09-26,2017-06-26 15:00:03,2017-06-26 15:00:03,NA
183,"S04",35,"AVAILABLE",NA,2017-07-02,2017-10-02,2017-07-02 15:00:05,2017-07-02 15:00:05,NA
100,"S03",186,"SUCCESS",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-08-16 15:00:03,NA
101,"S03",251,"SUCCESS",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-08-16 15:00:03,NA
115,"S04",419,"SUCCESS",NA,2017-05-27,2017-08-27,2017-05-27 15:00:02,2017-08-28 15:00:03,NA
116,"S04",42,"SUCCESS",NA,2017-05-30,2017-08-30,2017-05-30 15:00:08,2017-08-31 15:00:03,NA
142,"S03",286,"FAILED",NA,2017-06-12,2017-09-12,2017-06-12 15:00:03,2017-09-04 15:00:02,NA
186,"S04",231,"AVAILABLE",NA,2017-07-05,2017-10-05,2017-07-05 15:00:03,2017-07-05 15:00:03,NA
188,"S04",475,"AVAILABLE",NA,2017-07-09,2017-10-09,2017-07-09 15:00:02,2017-07-09 15:00:02,NA
13,"S03",176,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
17,"S03",358,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
190,"S04",49,"AVAILABLE",NA,2017-07-13,2017-10-13,2017-07-13 15:00:08,2017-07-13 15:00:08,NA
191,"S04",34,"AVAILABLE",NA,2017-07-15,2017-10-15,2017-07-15 15:00:03,2017-07-15 15:00:03,NA
185,"S04",422,"FAILED",NA,2017-07-04,2017-10-04,2017-07-16 15:00:21,2017-07-04 15:00:03,NA
194,"S03",135,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
196,"S03",1792,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
