"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
29,"S04",543,"FAILED",NA,2017-04-15,2017-07-15,2017-06-02 15:00:03,2017-04-15 15:00:27,NA
80,"S03",1770,"FAILED",NA,2017-05-15,2017-08-15,2017-06-12 15:00:03,2017-05-15 15:00:03,NA
90,"S03",351,"FAILED",NA,2017-05-15,2017-08-15,2017-06-12 15:00:03,2017-05-15 15:00:03,NA
37,"S04",322,"FAILED",NA,2017-04-28,2017-07-28,2017-06-14 15:00:04,2017-04-28 15:00:03,NA
71,"S03",505,"FAILED",NA,2017-05-08,2017-08-08,2017-06-26 15:00:03,2017-05-08 15:00:03,NA
88,"S03",132,"FAILED",NA,2017-05-15,2017-08-15,2017-06-26 15:00:03,2017-05-15 15:00:03,NA
40,"S04",422,"FAILED",NA,2017-05-01,2017-08-01,2017-06-29 15:00:02,2017-05-01 15:00:02,NA
9,"S03",76,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
10,"S03",89,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
20,"S03",97,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
22,"S03",386,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
24,"S03",526,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
27,"S03",250,"SUCCESS",NA,2017-04-10,2017-07-10,2017-07-11 15:00:07,2017-04-11 15:37:37,NA
31,"S04",421,"SUCCESS",NA,2017-04-16,2017-07-16,2017-07-17 15:00:06,2017-04-16 15:00:03,NA
92,"S03",394,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
