"","service_point_sn","date_consumption","adjusted_consumption","is_leak"
"93","3004520911",2018-01-04 20:00:00,25,"TRUE"
"94","3004520911",2018-01-04 21:00:00,19,"TRUE"
"95","3004520911",2018-01-04 22:00:00,59,"TRUE"
"96","3004520911",2018-01-04 23:00:00,95,"TRUE"
"97","3004520911",2018-01-05 00:00:00,38,"TRUE"
"98","3004520911",2018-01-05 01:00:00,27,"TRUE"
"99","3004520911",2018-01-05 02:00:00,22,"TRUE"
"100","3004520911",2018-01-05 03:00:00,23,"TRUE"
"101","3004520911",2018-01-05 04:00:00,20,"TRUE"
"102","3004520911",2018-01-05 05:00:00,21,"TRUE"
"103","3004520911",2018-01-05 06:00:00,41,"TRUE"
"104","3004520911",2018-01-05 07:00:00,60,"TRUE"
"105","3004520911",2018-01-05 08:00:00,41,"TRUE"
"106","3004520911",2018-01-05 09:00:00,51,"TRUE"
"107","3004520911",2018-01-05 10:00:00,33,"TRUE"
"108","3004520911",2018-01-05 11:00:00,21,"TRUE"
"109","3004520911",2018-01-05 12:00:00,19,"TRUE"
"110","3004520911",2018-01-05 13:00:00,21,"TRUE"
"111","3004520911",2018-01-05 14:00:00,22,"TRUE"
"112","3004520911",2018-01-05 15:00:00,23,"TRUE"
"113","3004520911",2018-01-05 16:00:00,23,"TRUE"
"114","3004520911",2018-01-05 17:00:00,22,"TRUE"
"115","3004520911",2018-01-05 18:00:00,23,"TRUE"
"116","3004520911",2018-01-05 19:00:00,35,"TRUE"
"117","3004520911",2018-01-05 20:00:00,42,"TRUE"
"118","3004520911",2018-01-05 21:00:00,31,"TRUE"
"119","3004520911",2018-01-05 22:00:00,72,"TRUE"
"120","3004520911",2018-01-05 23:00:00,73,"TRUE"
"121","3004520911",2018-01-06 00:00:00,19,"TRUE"
"122","3004520911",2018-01-06 01:00:00,22,"TRUE"
"123","3004520911",2018-01-06 02:00:00,28,"TRUE"
"124","3004520911",2018-01-06 03:00:00,23,"TRUE"
"125","3004520911",2018-01-06 04:00:00,20,"TRUE"
"126","3004520911",2018-01-06 05:00:00,26,"TRUE"
"127","3004520911",2018-01-06 06:00:00,48,"TRUE"
