"","date","block","MeanCountPerHour","MeterCount","HourlyIndexReadingRate"
"94",2018-04-14,"YH_B3",22.625,25,90.5
"95",2018-04-14,"YH_B4",45.125,90,50.14
"96",2018-04-14,"YH_B5",94.0416666666667,113,83.22
"97",2018-04-14,"YH_B6",51.875,92,56.39
"98",2018-04-14,"YH_B7",16.25,18,90.28
"99",2018-04-15,"YH_B1",42.625,99,43.06
"100",2018-04-15,"YH_B2",128,135,94.81
"101",2018-04-15,"YH_B3",22.7083333333333,25,90.83
"102",2018-04-15,"YH_B4",48,90,53.33
"103",2018-04-15,"YH_B5",94.25,113,83.41
"104",2018-04-15,"YH_B6",54.2083333333333,92,58.92
"105",2018-04-15,"YH_B7",15.6666666666667,18,87.04
"106",2018-04-16,"YH_B1",44.875,99,45.33
"107",2018-04-16,"YH_B2",127.875,135,94.72
"108",2018-04-16,"YH_B3",23.7083333333333,25,94.83
"109",2018-04-16,"YH_B4",44.2916666666667,90,49.21
"110",2018-04-16,"YH_B5",96.5,113,85.4
"111",2018-04-16,"YH_B6",48.6666666666667,92,52.9
"112",2018-04-16,"YH_B7",16.25,18,90.28
"113",2018-04-17,"YH_B1",38.3333333333333,99,38.72
"114",2018-04-17,"YH_B2",126.166666666667,135,93.46
"115",2018-04-17,"YH_B3",23.0416666666667,25,92.17
"116",2018-04-17,"YH_B4",44.9583333333333,90,49.95
"117",2018-04-17,"YH_B5",92.9166666666667,113,82.23
"118",2018-04-17,"YH_B6",45.8333333333333,92,49.82
"119",2018-04-17,"YH_B7",16.75,18,93.06
"120",2018-04-18,"YH_B1",51.4583333333333,99,51.98
"121",2018-04-18,"YH_B2",124,135,91.85
"122",2018-04-18,"YH_B3",22.9583333333333,25,91.83
"123",2018-04-18,"YH_B4",53.4583333333333,90,59.4
"124",2018-04-18,"YH_B5",89.9166666666667,113,79.57
"125",2018-04-18,"YH_B6",54.3333333333333,92,59.06
"126",2018-04-18,"YH_B7",16.125,18,89.58
"127",2018-04-19,"YH_B1",60.875,99,61.49
"128",2018-04-19,"YH_B2",128.916666666667,135,95.49
"129",2018-04-19,"YH_B3",24.2083333333333,25,96.83
"130",2018-04-19,"YH_B4",59.8333333333333,90,66.48
"131",2018-04-19,"YH_B5",105.833333333333,113,93.66
"132",2018-04-19,"YH_B6",67.5416666666667,92,73.41
"133",2018-04-19,"YH_B7",17.5833333333333,18,97.69
"134",2018-04-20,"YH_B1",68.7083333333333,99,69.4
"135",2018-04-20,"YH_B2",129.25,135,95.74
"136",2018-04-20,"YH_B3",24.5,25,98
"137",2018-04-20,"YH_B4",68.75,90,76.39
"138",2018-04-20,"YH_B5",107.416666666667,113,95.06
"139",2018-04-20,"YH_B6",72.6666666666667,92,78.99
"140",2018-04-20,"YH_B7",17.5416666666667,18,97.45
"141",2018-04-21,"YH_B1",67.625,99,68.31
"142",2018-04-21,"YH_B2",131.916666666667,135,97.72
"143",2018-04-21,"YH_B3",24.8333333333333,25,99.33
"144",2018-04-21,"YH_B4",64.5,90,71.67
"145",2018-04-21,"YH_B5",109.75,113,97.12
"146",2018-04-21,"YH_B6",76.875,92,83.56
"147",2018-04-21,"YH_B7",17.875,18,99.31
"148",2018-04-22,"YH_B1",62.4166666666667,99,63.05
"149",2018-04-22,"YH_B2",131,135,97.04
