service_point_sn;block;room_type;adc;Grp;Lev;Prof;Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday;H00;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23
3004522034;PG_B2;HDB05;0.281394202898551;2;1;L1G2;253.7;290.020833333333;403.46;389.76;172.65306122449;224.34693877551;231.857142857143;15.4144927536232;12.8869565217391;8.67536231884058;6.50144927536232;5.64057971014493;4.62608695652174;4.12173913043478;7.05507246376812;10.6202898550725;15.2724637681159;9.47826086956522;10.6550724637681;11.2347826086957;10.1014492753623;9.51594202898551;13.895652173913;11.1826086956522;11.2086956521739;13.3072463768116;16.3594202898551;15.1971014492754;18.7855072463768;17.6802325581395;22.093023255814
3004522045;PG_B2;HDB05;0.316147826086957;1;2;L2G1;315.4;327.1875;309.74;313.62;298.34693877551;326.734693877551;322.428571428571;13.1333333333333;4.6231884057971;3.01449275362319;2.46666666666667;2.92463768115942;2.34782608695652;6.36521739130435;6.18550724637681;14.0724637681159;20.936231884058;16.3246376811594;19.5884057971014;15.3594202898551;17.4202898550725;16.9855072463768;11.7739130434783;16.5536231884058;14.5391304347826;17.4927536231884;11.5826086956522;19.063768115942;24.0869565217391;24.4;14.9505813953488
3004522058;PG_B2;HDB05;0.513808695652174;1;2;L2G1;564.64;686.958333333333;344.84;432.16;537.632653061224;532.734693877551;505.30612244898;44.9942028985507;26.8;7.45217391304348;2.55652173913043;1.1304347826087;0.655072463768116;0.747826086956522;11.9623188405797;28.6347826086957;19.9768115942029;11.4434782608696;9.27536231884058;21.4202898550725;30.7304347826087;31.1536231884058;31.1420289855072;32.1478260869565;26.0115942028986;25.8782608695652;24.3478260869565;27.2231884057971;27.1217391304348;32.7217391304348;38.3924418604651
3004522092;PG_B2;HDB05;0.440026086956522;2;1;L1G2;439.84;437.270833333333;553.02;533.84;369.408163265306;373.755102040816;368.775510204082;28.9971014492754;11.9797101449275;13.1913043478261;7.45507246376812;5.03478260869565;4.9536231884058;16.5014492753623;25.9101449275362;34.3739130434783;19.7130434782609;28.9304347826087;22.5536231884058;15.0840579710145;9.59130434782609;12.3913043478261;16.4782608695652;17.5420289855072;18.5710144927536;22.295652173913;17.263768115942;15.3507246376812;16.8808139534884;27.3575581395349;31.8459302325581
3004522107;PG_B2;HDB05;0.459223188405797;1;2;L2G1;457.08;496.333333333333;387.66;450.58;456.448979591837;502.326530612245;466.571428571429;5.83478260869565;3.37391304347826;2.49275362318841;2.10144927536232;2.50144927536232;1.84057971014493;15.1420289855072;21.5333333333333;35.5942028985507;40.6086956521739;40.7971014492754;22.8289855072464;32.4173913043478;22.1971014492754;14.504347826087;12.7594202898551;20.536231884058;19.4811594202899;18.368115942029;26.0492753623188;50.6869565217391;29.1246376811594;11.6666666666667;6.80232558139535
3004522126;PG_B2;HDB05;0.450263768115942;1;2;L2G1;438.34;433.25;472.68;512.62;463.387755102041;434.040816326531;395.69387755102;13.6608695652174;4.74782608695652;2.17971014492754;1.02028985507246;0.710144927536232;1.93623188405797;6.7304347826087;8.48695652173913;36.6057971014493;44.9623188405797;29.8;21.8724637681159;22.063768115942;20.3826086956522;19.1826086956522;14.8985507246377;21.695652173913;20.304347826087;21.3217391304348;23.6;33.7159420289855;32.0608695652174;26.4057971014493;21.9825581395349
3004522137;PG_B2;HDB05;0.864144927536232;1;2;L2G1;834.12;812.083333333333;857.32;1103.58;800.040816326531;835.489795918367;801.183673469388;24.8057971014493;17.1217391304348;13.1478260869565;3.79710144927536;80.0898550724638;101.492753623188;127.826086956522;41.2608695652174;21.1623188405797;27.8463768115942;31.2347826086957;30.6695652173913;30.5449275362319;25.3855072463768;21.6666666666667;22.7942028985507;16.7130434782609;15.1797101449275;20.4086956521739;32.536231884058;38.6057971014493;38.7122093023256;52.0174418604651;29.4738372093023
3004522151;PG_B2;HDB05;0.49821676300578;2;1;L1G2;431.3;425.877551020408;604.28;650.42;450.265306122449;454.69387755102;466.775510204082;23.9104046242775;7.4463768115942;5.80869565217391;2.43478260869565;2.17391304347826;1.78260869565217;3.32173913043478;5.04057971014493;24.1826086956522;41.2521739130435;45.9011627906977;34.9447674418605;22.4186046511628;19.5826086956522;19.3942028985507;17.4173913043478;12.2840579710145;14.7507246376812;24.936231884058;23.5217391304348;25.5536231884058;38.5333333333333;43.0347826086957;40.263768115942
3004522164;PG_B2;HDB05;0.326495652173913;2;1;L1G2;316.36;315.104166666667;295.18;428.8;335.795918367347;297.795918367347;294.959183673469;6.57101449275362;1.49275362318841;0.353623188405797;0.310144927536232;0.518840579710145;1.91014492753623;4.79130434782609;13.168115942029;30.1739130434783;46.2086956521739;28.1304347826087;18.831884057971;12.6869565217391;14.2782608695652;13.6086956521739;11.5884057971014;11.9507246376812;15.2521739130435;15.3449275362319;17.9826086956522;16.3130434782609;18.9304347826087;14.6666666666667;11.431884057971
3004522178;PG_B2;HDB05;0.297260115606936;1;1;L1G1;309.5;311.612244897959;296.62;242.42;337.612244897959;305.326530612245;278.612244897959;13.0028901734104;3.86666666666667;1.72173913043478;0.889855072463768;0.782608695652174;0.91304347826087;11.2;24.5594202898551;13.1275362318841;9.11594202898551;7.31686046511628;7.38081395348837;10.8313953488372;8.85797101449275;11.6985507246377;24.0840579710145;17.5739130434783;17.3246376811594;12.3130434782609;10.6115942028986;10.8405797101449;18.263768115942;31.7130434782609;30.168115942029
3004522190;PG_B2;HDB05;0.893608695652174;2;2;L2G2;926.68;861.479166666667;914.68;876.08;903.673469387755;873.489795918367;897.775510204082;5.4231884057971;3.01449275362319;1.63478260869565;1.05217391304348;1.1304347826087;11.095652173913;80.7478260869565;100.397101449275;73.6724637681159;55.6840579710145;42.2840579710145;48.8202898550725;31.1826086956522;31.0173913043478;28.1971014492754;29.7739130434783;32.8985507246377;37.1217391304348;56.0115942028986;97.0666666666667;54.431884057971;33.1826086956522;24.343023255814;13.5348837209302
